"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"LION","Fidelity Southe...","631","--","0.44","0.57","+0.13","+29.55%","--",""
"MTG","Mgic Investment...","4,840","bmo","0.22","0.28","+0.06","+27.27%","1.66%",""
"AMNB","American Nation...","368","--","0.40","0.48","+0.08","+20.00%","--",""
"CHKP","Check Point Sof...","19,298","bmo","1.25","1.46","+0.21","+16.80%","7.51%",""
"WNS","Wns (holdings)...","1,893","bmo","0.42","0.49","+0.07","+16.67%","3.90%",""
"INBK","First Internet...","291","--","0.55","0.64","+0.09","+16.36%","--",""
"TEAM","Atlassian Corpo...","3,686","amc","0.08","0.09","+0.01","+12.50%","2.22%",""
"BSET","Bassett Furnitu...","418","--","0.43","0.47","+0.04","+9.30%","--",""
"WBS","Webster Financi...","4,893","bmo","0.55","0.60","+0.05","+9.09%","-0.77%",""
"CHCO","City Holding Co...","1,144","--","0.89","0.97","+0.08","+8.99%","--",""
"GATX","Gatx Corporatio...","2,475","bmo","1.05","1.14","+0.09","+8.57%","3.34%",""
"PFBC","Preferred Bank","776","amc","0.66","0.71","+0.05","+7.58%","9.07%",""
"KEY","Keycorp","20,043","bmo","0.29","0.31","+0.02","+6.90%","-1.60%",""
"ASB","Associated Banc...","3,715","amc","0.32","0.34","+0.02","+6.25%","1.85%",""
"HOMB","Home Bancshares...","4,473","bmo","0.33","0.35","+0.02","+6.06%","-1.63%",""
"ICBK","County Bancorp,...","202","--","0.48","0.50","+0.02","+4.17%","--",""
"UNP","Union Pacific C...","89,715","bmo","1.34","1.39","+0.05","+3.73%","2.38%",""
"BANF","Bancfirst Corpo...","1,854","--","0.56","0.58","+0.02","+3.57%","--",""
"FFBC","First Financial...","1,641","amc","0.37","0.38","+0.01","+2.70%","3.35%",""
"INDB","Independent Ban...","2,036","amc","0.74","0.76","+0.02","+2.70%","-5.60%",""
"IBM","International B...","136,837","amc","4.89","5.01","+0.12","+2.45%","2.24%",""
"SWKS","Skyworks Soluti...","19,657","amc","1.58","1.61","+0.03","+1.90%","13.01%",""
"BMTC","Bryn Mawr Bank...","758","--","0.54","0.55","+0.01","+1.85%","--",""
"SASR","Sandy Spring Ba...","1,033","--","0.54","0.55","+0.01","+1.85%","--",""
"SBNY","Signature Bank","6,696","bmo","2.09","2.11","+0.02","+0.96%","0.37%",""
"PPG","Ppg Industries,...","28,994","bmo","1.18","1.19","+0.01","+0.85%","0.84%",""
"BBT","Bb&t Corporatio...","38,005","bmo","0.73","0.73","0.00","0.00%","-1.97%",""
"PACW","Pacwest Bancorp...","5,773","--","0.71","0.71","0.00","0.00%","--",""
"PBCT","People's United...","6,299","amc","0.24","0.24","0.00","0.00%","-2.30%",""
"SRCE","1st Source Corp...","1,354","--","0.58","0.58","0.00","0.00%","--",""
"TAL","Tal Education G...","17,648","bmo","0.04","0.04","0.00","0.00%","7.45%",""
"MTB","M&t Bank Corpor...","24,950","bmo","2.03","2.01","-0.02","-0.99%","0.46%",""
"BK","Bank Of New Yor...","56,524","bmo","0.78","0.77","-0.01","-1.28%","-3.01%",""
"JBHT","J.b. Hunt Trans...","11,123","--","1.00","0.97","-0.03","-3.00%","--",""
"AXP","American Expres...","81,291","amc","0.98","0.91","-0.07","-7.14%","-0.64%",""
"GFED","Guaranty Federa...","97","--","0.37","0.34","-0.03","-8.11%","--",""
"FVCB","Fvcbankcorp, In...","190","--","0.18","0.16","-0.02","-11.11%","--",""
