"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"ADTN","Adtran, Inc.","1,147","amc","0.10","0.16","+0.06","+60.00%","0.67%",""
"BMRA","Biomerica, Inc....","24","--","-0.03","-0.02","+0.01","+33.33%","--",""
"MS","Morgan Stanley","89,882","bmo","0.65","0.81","+0.16","+24.62%","-3.79%",""
"CMA","Comerica Incorp...","13,253","bmo","0.83","0.92","+0.09","+10.84%","-6.51%",""
"RNST","Renasant Corpor...","2,115","amc","0.54","0.59","+0.05","+9.26%","2.66%",""
"UAL","United Continen...","20,368","amc","1.65","1.78","+0.13","+7.88%","0.35%",""
"MBWM","Mercantile Bank...","581","bmo","0.46","0.49","+0.03","+6.52%","-2.50%",""
"HBHC","Hancock Holding...","4,152","amc","0.61","0.64","+0.03","+4.92%","4.15%",""
"INFO","Ihs Markit Ltd....","17,476","bmo","0.46","0.48","+0.02","+4.35%","3.51%",""
"OZRK","Bank Of The Oza...","5,865","bmo","0.69","0.72","+0.03","+4.35%","-2.51%",""
"WAFD","Washington Fede...","3,042","--","0.45","0.46","+0.01","+2.22%","--",""
"UNH","Unitedhealth Gr...","186,797","bmo","2.07","2.11","+0.04","+1.93%","-0.70%",""
"SNV","Synovus Financi...","5,668","bmo","0.53","0.54","+0.01","+1.89%","-3.75%",""
"CSX","Csx Corporation...","48,259","amc","0.49","0.49","0.00","0.00%","-3.18%",""
"FULT","Fulton Financia...","3,368","amc","0.24","0.24","0.00","0.00%","0.00%",""
"PNFP","Pinnacle Financ...","5,148","amc","0.83","0.83","0.00","0.00%","-3.14%",""
"EDU","New Oriental Ed...","14,764","bmo","0.09","0.08","-0.01","-11.11%","2.81%",""
"IBKR","Interactive Bro...","19,646","amc","0.33","0.07","-0.26","-78.79%","-2.39%",""
