"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"ASML","Asml Holding N....","75,923","bmo","1.06","1.33","+0.27","+25.47%","6.09%",""
"NFLX","Netflix, Inc.","87,507","amc","0.13","0.15","+0.02","+15.38%","3.86%",""
"BPFH","Boston Private...","1,396","amc","0.21","0.24","+0.03","+14.29%","1.86%",""
"NVEC","Nve Corporation...","391","amc","0.64","0.72","+0.08","+12.50%","1.90%",""
"SFNC","Simmons First N...","1,893","amc","0.83","0.91","+0.08","+9.64%","2.11%",""
"PLXS","Plexus Corp.","1,968","amc","0.76","0.82","+0.06","+7.89%","-0.19%",""
"GS","Goldman Sachs G...","93,782","bmo","4.76","5.08","+0.32","+6.72%","-0.62%",""
"EGBN","Eagle Bancorp,...","2,326","amc","0.71","0.75","+0.04","+5.63%","1.02%",""
"KMI","Kinder Morgan,...","42,007","amc","0.18","0.19","+0.01","+5.56%","0.13%",""
"FAST","Fastenal Compan...","13,582","bmo","0.38","0.40","+0.02","+5.26%","5.81%",""
"CARO","Carolina Financ...","576","amc","0.44","0.46","+0.02","+4.55%","-2.11%",""
"WTFC","Wintrust Financ...","4,357","amc","0.90","0.94","+0.04","+4.44%","-1.33%",""
"CVBF","Cvb Financial C...","2,607","amc","0.24","0.25","+0.01","+4.17%","0.81%",""
"C","Citigroup Inc.","204,523","bmo","1.11","1.14","+0.03","+2.70%","-1.70%",""
"CBSH","Commerce Bancsh...","5,793","bmo","0.67","0.68","+0.01","+1.49%","-1.41%",""
"USB","U.s. Bancorp","90,765","bmo","0.81","0.82","+0.01","+1.23%","0.50%",""
"AMTD","Td Ameritrade H...","25,230","bmo","0.41","0.41","0.00","0.00%","1.70%",""
"CNS","Cohen & Steers...","1,943","amc","0.48","0.48","0.00","0.00%","3.26%",""
"FCCO","First Community...","145","--","0.26","0.26","0.00","0.00%","--",""
"FNB","F.n.b. Corporat...","4,535","amc","0.24","0.24","0.00","0.00%","-1.24%",""
"PTC","Ptc Inc.","6,939","amc","0.26","0.26","0.00","0.00%","5.97%",""
"SCHW","The Charles Sch...","59,551","--","0.36","0.36","0.00","0.00%","--",""
"SLM","Slm Corporation...","4,868","amc","0.15","0.15","0.00","0.00%","2.81%",""
"FUL","H. B. Fuller Co...","2,882","amc","0.75","0.74","-0.01","-1.33%","-4.88%",""
"NTRS","Northern Trust...","21,002","bmo","1.14","1.11","-0.03","-2.63%","-4.72%",""
"CP","Canadian Pacifi...","24,609","amc","2.37","2.28","-0.09","-3.80%","3.51%",""
"CTBI","Community Trust...","836","--","0.71","0.67","-0.04","-5.63%","--",""
"BKMU","Bank Mutual Cor...","475","--","0.10","0.09","-0.01","-10.00%","--",""
"FFKT","Farmers Capital...","328","--","0.48","0.41","-0.07","-14.58%","--",""
