"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"GWRE","Guidewire Softw...","5,792","amc","0.39","0.59","+0.20","+51.28%","9.33%",""
"GIII","G-iii Apparel G...","1,269","bmo","-0.26","-0.15","+0.11","+42.31%","9.99%",""
"SEAC","Seachange Inter...","96","amc","-0.05","-0.03","+0.02","+40.00%","0.76%",""
"RH","Restoration Har...","1,667","amc","0.47","0.65","+0.18","+38.30%","44.76%",""
"NAV","Navistar Intern...","4,123","bmo","0.28","0.37","+0.09","+32.14%","6.96%",""
"VRNT","Verint Systems...","2,721","amc","0.47","0.61","+0.14","+29.79%","2.53%",""
"SCWX","Secureworks Cor...","911","bmo","-0.09","-0.07","+0.02","+22.22%","7.25%",""
"FRED","Fred's, Inc.","203","bmo","-0.18","-0.15","+0.03","+16.67%","17.01%",""
"FRAN","Francesca's Hol...","251","bmo","0.19","0.20","+0.01","+5.26%","-1.92%",""
"KFY","Korn/ferry Inte...","2,258","amc","0.53","0.55","+0.02","+3.77%","7.89%",""
"GMS","Gms Inc.","1,438","bmo","0.47","0.47","0.00","0.00%","5.33%",""
"HDS","Hd Supply Holdi...","6,740","bmo","0.64","0.64","0.00","0.00%","3.36%",""
"CVGW","Calavo Growers,...","1,234","--","0.51","0.50","-0.01","-1.96%","--",""
"NX","Quanex Building...","773","amc","0.34","0.33","-0.01","-2.94%","-0.75%",""
"ABM","Abm Industries...","2,767","amc","0.53","0.51","-0.02","-3.77%","-9.29%",""
"DSGX","The Descartes S...","2,198","amc","0.10","0.09","-0.01","-10.00%","1.06%",""
"SKIS","Peak Resorts, I...","66","amc","-0.57","-0.64","-0.07","-12.28%","-5.05%",""
"NCS","Nci Building Sy...","1,085","amc","0.31","0.27","-0.04","-12.90%","-20.54%",""
"TAX","Liberty Tax, In...","177","bmo","-0.64","-0.73","-0.09","-14.06%","6.08%",""
"YEXT","Yext Inc.","1,095","amc","-0.14","--","--","--","-7.80%",""
