"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"HAWK","Blackhawk Netwo...","1,943","amc","0.09","0.18","+0.09","+100.00%","-20.48%",""
"SAR","Saratoga Invest...","133","amc","0.51","0.62","+0.11","+21.57%","1.47%",""
"BLK","Blackrock, Inc....","76,941","bmo","5.59","5.92","+0.33","+5.90%","1.81%",""
"DAL","Delta Air Lines...","38,230","bmo","1.54","1.57","+0.03","+1.95%","0.70%",""
"OZRK","Bank Of The Oza...","5,865","bmo","0.74","0.75","+0.01","+1.35%","-2.69%",""
"FAST","Fastenal Compan...","13,582","bmo","0.50","0.50","0.00","0.00%","-0.78%",""
