"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CPRT","Copart, Inc.","8,398","amc","0.31","0.35","+0.04","+12.90%","4.06%",""
"ADBE","Adobe Systems I...","74,129","amc","1.00","1.10","+0.10","+10.00%","-4.24%",""
"NEOG","Neogen Corporat...","2,937","bmo","0.30","0.31","+0.01","+3.33%","-3.29%",""
"AZO","Autozone, Inc.","16,919","bmo","15.11","15.18","+0.07","+0.46%","-5.01%",""
"AIR","Aar Corp.","1,324","amc","0.31","0.31","0.00","0.00%","3.10%",""
"APOG","Apogee Enterpri...","1,343","bmo","0.72","0.60","-0.12","-16.67%","-1.36%",""
"FDX","Fedex Corporati...","59,019","amc","3.17","2.51","-0.66","-20.82%","2.08%",""
"BBBY","Bed Bath & Beyo...","3,085","amc","0.95","0.75","-0.20","-21.05%","-15.87%",""
"ALOG","Analogic Corpor...","1,004","amc","0.59","0.00","-0.59","-100.00%","2.17%",""
