"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"RLI","Rli Corp.","2,540","amc","0.02","0.04","+0.02","+100.00%","3.63%",""
"GHL","Greenhill & Co....","505","amc","-0.34","-0.18","+0.16","+47.06%","1.46%",""
"SVU","Supervalu Inc.","743","bmo","0.35","0.46","+0.11","+31.43%","-11.82%",""
"MTG","Mgic Investment...","4,858","bmo","0.25","0.32","+0.07","+28.00%","3.28%",""
"EXPO","Exponent, Inc.","1,924","amc","0.43","0.54","+0.11","+25.58%","-2.96%",""
"ASML","Asml Holding N....","75,816","bmo","1.28","1.52","+0.24","+18.75%","-2.61%",""
"UNF","Unifirst Corpor...","3,146","bmo","1.23","1.44","+0.21","+17.07%","1.32%",""
"TSC","Tristate Capita...","658","amc","0.30","0.35","+0.05","+16.67%","0.66%",""
"CVCY","Central Valley...","285","amc","0.32","0.36","+0.04","+12.50%","-1.02%",""
"CTBI","Community Trust...","823","bmo","0.72","0.78","+0.06","+8.33%","6.02%",""
"URI","United Rentals,...","12,106","amc","3.00","3.25","+0.25","+8.33%","0.06%",""
"WAFD","Washington Fede...","3,011","--","0.48","0.52","+0.04","+8.33%","--",""
"GBNK","Guaranty Bancor...","791","amc","0.37","0.40","+0.03","+8.11%","2.97%",""
"NTRS","Northern Trust...","20,815","bmo","1.12","1.20","+0.08","+7.14%","3.82%",""
"NVEC","Nve Corporation...","385","amc","0.61","0.65","+0.04","+6.56%","7.64%",""
"EGBN","Eagle Bancorp,...","2,283","amc","0.82","0.87","+0.05","+6.10%","0.07%",""
"CNS","Cohen & Steers...","1,934","amc","0.52","0.55","+0.03","+5.77%","4.03%",""
"ATLKY","Atlas Copco Ab","34,776","--","0.43","0.45","+0.02","+4.65%","--",""
"TBK","Triumph Bancorp...","652","amc","0.45","0.47","+0.02","+4.44%","-1.42%",""
"WTFC","Wintrust Financ...","4,345","amc","1.08","1.12","+0.04","+3.70%","1.40%",""
"UMPQ","Umpqua Holdings...","4,336","amc","0.29","0.30","+0.01","+3.45%","3.41%",""
"HXL","Hexcel Corporat...","5,257","amc","0.69","0.71","+0.02","+2.90%","4.16%",""
