"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"NFLX","Netflix, Inc.","87,507","amc","0.32","0.29","-0.03","-9.38%","-1.58%",""
"SCHW","The Charles Sch...","59,551","--","0.41","0.42","+0.01","+2.44%","--",""
"KHNGY","Kuehne & Nagel...","20,832","--","0.34","--","--","--","--",""
"CE","Celanese Corpor...","14,730","amc","1.92","1.93","+0.01","+0.52%","-2.64%",""
"IEX","Idex Corporatio...","9,558","amc","1.06","1.08","+0.02","+1.89%","-0.69%",""
"ELS","Equity Lifestyl...","7,554","amc","0.90","0.56","-0.34","-37.78%","0.76%",""
"BRO","Brown & Brown,...","6,847","amc","0.49","0.53","+0.04","+8.16%","0.08%",""
"SFBS","Servisfirst Ban...","2,101","amc","0.47","0.47","0.00","0.00%","2.17%",""
"BMI","Badger Meter, I...","1,479","amc","0.35","0.27","-0.08","-22.86%","-12.20%",""
"SONC","Sonic Corp.","1,052","amc","0.43","0.45","+0.02","+4.65%","4.84%",""
"ANCX","Access National...","592","--","0.38","--","--","--","--",""
"FDEF","First Defiance...","545","amc","0.87","0.92","+0.05","+5.75%","1.73%",""
"CSTR","Capstar Financi...","233","bmo","0.22","0.35","+0.13","+59.09%","6.75%",""
"MNI","Mcclatchy Compa...","58","bmo","-0.55","-0.78","-0.23","-41.82%","-2.33%",""
"BMRA","Biomerica, Inc....","24","--","-0.03","-0.02","+0.01","+33.33%","--",""
