"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"UDR","United Dominion...","10,371","amc","0.45","0.88","+0.43","+95.56%","0.87%",""
"ARLP","Alliance Resour...","2,693","bmo","0.86","1.30","+0.44","+51.16%","0.41%",""
"DHT","Dht Holdings, I...","581","amc","0.12","0.18","+0.06","+50.00%","1.74%",""
"AHGP","Alliance Holdin...","1,671","bmo","0.77","1.02","+0.25","+32.47%","4.34%",""
"AEIS","Advanced Energy...","3,561","amc","0.81","1.06","+0.25","+30.86%","-1.29%",""
"GGG","Graco Inc.","7,119","amc","0.85","1.00","+0.15","+17.65%","0.20%",""
"TFSL","Tfs Financial C...","4,514","--","0.06","0.07","+0.01","+16.67%","--",""
"WERN","Werner Enterpri...","2,472","amc","0.26","0.30","+0.04","+15.38%","1.08%",""
"SFBS","Servisfirst Ban...","2,101","amc","0.35","0.40","+0.05","+14.29%","5.20%",""
"SANM","Sanmina Corpora...","2,898","amc","0.66","0.75","+0.09","+13.64%","4.56%",""
"BANC","Banc Of Califor...","1,030","--","0.48","0.54","+0.06","+12.50%","--",""
"TMHC","Taylor Morrison...","2,713","bmo","0.58","0.65","+0.07","+12.07%","-1.55%",""
"PFG","Principal Finan...","19,453","amc","1.15","1.27","+0.12","+10.43%","-1.13%",""
"TCBK","Trico Bancshare...","964","--","0.49","0.54","+0.05","+10.20%","--",""
"GABC","German American...","861","--","0.41","0.44","+0.03","+7.32%","--",""
"TESS","Tessco Technolo...","113","amc","0.14","0.15","+0.01","+7.14%","-0.70%",""
"PKG","Packaging Corpo...","11,039","amc","1.16","1.23","+0.07","+6.03%","0.39%",""
"RGA","Reinsurance Gro...","9,232","amc","2.50","2.63","+0.13","+5.20%","0.43%",""
"CSTR","Capstar Financi...","233","bmo","0.22","0.23","+0.01","+4.55%","0.15%",""
"BOFI","Bofi Holding, I...","1,751","amc","0.48","0.50","+0.02","+4.17%","4.02%",""
"CR","Crane Company","4,919","amc","0.98","1.02","+0.04","+4.08%","-2.52%",""
"IEX","Idex Corporatio...","9,558","amc","0.93","0.96","+0.03","+3.23%","-2.02%",""
"IDTI","Integrated Devi...","3,722","amc","0.34","0.35","+0.01","+2.94%","-4.38%",""
"AMG","Affiliated Mana...","10,929","bmo","3.70","3.80","+0.10","+2.70%","4.76%",""
"BFIN","Bankfinancial C...","298","--","0.12","0.12","0.00","0.00%","--",""
"RMBS","Rambus, Inc.","1,491","amc","0.16","0.16","0.00","0.00%","-7.15%",""
"RYAM","Rayonier Advanc...","601","amc","0.18","0.18","0.00","0.00%","-19.13%",""
"HTLF","Heartland Finan...","1,493","amc","0.75","0.74","-0.01","-1.33%","-0.85%",""
"BHLB","Berkshire Hills...","1,585","amc","0.57","0.56","-0.01","-1.75%","-0.42%",""
"EPD","Enterprise Prod...","56,604","bmo","0.32","0.31","-0.01","-3.13%","-2.20%",""
"FLIC","The First Of Lo...","760","--","0.32","0.31","-0.01","-3.13%","--",""
"CASH","Meta Financial...","762","--","0.59","0.57","-0.02","-3.39%","--",""
"BAH","Booz Allen Hami...","5,666","bmo","0.40","0.38","-0.02","-5.00%","-6.51%",""
"NRIM","Northrim Bancor...","241","--","0.54","0.51","-0.03","-5.56%","--",""
"FRBA","First Bank","191","--","0.17","0.16","-0.01","-5.88%","--",""
"LEG","Leggett & Platt...","6,322","amc","0.58","0.53","-0.05","-8.62%","1.12%",""
"CNXC","Cnx Coal Resour...","175","amc","0.59","0.41","-0.18","-30.51%","-3.07%",""
"GGP","General Growth...","18,919","amc","0.43","0.24","-0.19","-44.19%","3.67%",""
"ARE","Alexandria Real...","11,563","amc","1.43","0.27","-1.16","-81.12%","-1.19%",""
"LPG","Dorian Lpg Ltd....","455","bmo","-0.18","-0.36","-0.18","-100.00%","10.54%",""
"OPB","Opus Bank","831","bmo","0.44","-0.55","-0.99","-225.00%","-25.14%",""
