"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"HAL","Halliburton Com...","38,882","bmo","0.02","0.04","+0.02","+100.00%","-2.92%",""
"WWD","Woodward, Inc.","4,918","amc","0.50","0.73","+0.23","+46.00%","5.46%",""
"MRCY","Mercury Systems...","2,488","amc","0.10","0.13","+0.03","+30.00%","8.37%",""
"PRK","Park National C...","1,687","--","1.10","1.30","+0.20","+18.18%","--",""
"ZION","Zions Bancorpor...","9,460","amc","0.52","0.60","+0.08","+15.38%","0.59%",""
"BMRC","Bank Of Marin B...","429","bmo","0.81","0.93","+0.12","+14.81%","3.81%",""
"BSRR","Sierra Bancorp","382","--","0.35","0.40","+0.05","+14.29%","--",""
"JJSF","J & J Snack Foo...","2,466","amc","0.64","0.72","+0.08","+12.50%","1.54%",""
"EFSC","Enterprise Fina...","1,009","bmo","0.62","0.67","+0.05","+8.06%","-0.71%",""
"SIMO","Silicon Motion...","1,819","amc","0.89","0.95","+0.06","+6.74%","-5.05%",""
"FDEF","First Defiance...","545","amc","0.76","0.81","+0.05","+6.58%","5.02%",""
"CBU","Community Bank...","2,817","bmo","0.58","0.61","+0.03","+5.17%","1.11%",""
"RMD","Resmed Inc.","11,061","amc","0.70","0.73","+0.03","+4.29%","9.62%",""
"BRO","Brown & Brown,...","6,847","amc","0.41","0.42","+0.01","+2.44%","-0.39%",""
"MCD","Mcdonald's Corp...","133,658","bmo","1.41","1.44","+0.03","+2.13%","-0.72%",""
"BOH","Bank Of Hawaii...","3,567","bmo","1.02","1.02","0.00","0.00%","-2.20%",""
"NBTB","Nbt Bancorp Inc...","1,639","--","0.46","0.45","-0.01","-2.17%","--",""
"NWBI","Northwest Bancs...","1,794","--","0.26","0.25","-0.01","-3.85%","--",""
"PETS","Petmed Express,...","707","bmo","0.25","0.24","-0.01","-4.00%","-1.76%",""
"TBK","Triumph Bancorp...","655","amc","0.39","0.33","-0.06","-15.38%","3.44%",""
"ELS","Equity Lifestyl...","7,554","amc","0.80","0.43","-0.37","-46.25%","0.41%",""
"HMST","Homestreet, Inc...","773","amc","0.27","0.09","-0.18","-66.67%","1.25%",""
"SGSOY","Sgs Sa","18,102","--","--","--","--","--","--",""
