"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"EBMT","Eagle Bancorp M...","95","--","0.34","0.37","+0.03","+8.82%","--",""
"COLB","Columbia Bankin...","2,436","bmo","0.49","0.53","+0.04","+8.16%","-0.48%",""
"BX","The Blackstone...","21,480","bmo","0.63","0.68","+0.05","+7.94%","1.93%",""
"FMBH","First Mid-illin...","500","--","0.51","0.55","+0.04","+7.84%","--",""
"KLAC","Kla-tencor Corp...","16,834","amc","1.41","1.52","+0.11","+7.80%","3.50%",""
"LUV","Southwest Airli...","35,244","bmo","0.69","0.74","+0.05","+7.25%","9.02%",""
"LRN","K12 Inc","713","bmo","0.28","0.30","+0.02","+7.14%","-0.88%",""
"MXIM","Maxim Integrate...","13,947","amc","0.43","0.46","+0.03","+6.98%","6.53%",""
"NOC","Northrop Grumma...","51,510","bmo","2.49","2.66","+0.17","+6.83%","-1.68%",""
"SIVB","Svb Financial G...","9,759","amc","1.77","1.89","+0.12","+6.78%","-0.14%",""
"HTLD","Heartland Expre...","1,919","--","0.15","0.16","+0.01","+6.67%","--",""
"STM","Stmicroelectron...","18,312","bmo","0.15","0.16","+0.01","+6.67%","6.16%",""
"RCI","Rogers Communic...","27,645","bmo","0.52","0.55","+0.03","+5.77%","6.18%",""
"SHW","Sherwin-william...","35,876","bmo","2.22","2.34","+0.12","+5.41%","7.61%",""
"INTC","Intel Corporati...","186,832","amc","0.75","0.79","+0.04","+5.33%","1.12%",""
"BUSE","First Busey Cor...","1,439","amc","0.39","0.41","+0.02","+5.13%","-1.75%",""
"MSFT","Microsoft Corpo...","598,079","amc","0.79","0.83","+0.04","+5.06%","2.35%",""
"JNPR","Juniper Network...","9,950","amc","0.63","0.66","+0.03","+4.76%","-3.79%",""
"SPB","Spectrum Brands...","6,398","bmo","1.16","1.21","+0.05","+4.31%","8.00%",""
"IVZ","Invesco Plc","14,778","bmo","0.57","0.59","+0.02","+3.51%","-3.51%",""
"AIT","Applied Industr...","2,484","bmo","0.59","0.61","+0.02","+3.39%","0.31%",""
"TOWN","Towne Bank","2,184","--","0.31","0.32","+0.01","+3.23%","--",""
"DGX","Quest Diagnosti...","12,485","bmo","1.27","1.31","+0.04","+3.15%","1.10%",""
"CSFL","Centerstate Ban...","1,633","amc","0.32","0.33","+0.01","+3.13%","-2.35%",""
"BC","Brunswick Corpo...","5,109","bmo","0.65","0.67","+0.02","+3.08%","1.32%",""
"FLEX","Flextronics Int...","9,375","amc","0.33","0.34","+0.01","+3.03%","4.64%",""
"LANC","Lancaster Colon...","3,329","bmo","1.38","1.42","+0.04","+2.90%","-10.69%",""
"MRLN","Marlin Business...","368","amc","0.37","0.38","+0.01","+2.70%","3.57%",""
"AVT","Avnet, Inc.","4,958","bmo","0.75","0.77","+0.02","+2.67%","-2.69%",""
"CUNB","Cu Bancorp (ca)...","669","--","0.38","0.39","+0.01","+2.63%","--",""
"FBNC","First Bancorp","884","--","0.39","0.40","+0.01","+2.56%","--",""
"RDN","Radian Group In...","4,230","bmo","0.40","0.41","+0.01","+2.50%","-0.11%",""
"ETFC","E*trade Financi...","12,222","amc","0.42","0.43","+0.01","+2.38%","2.30%",""
"FBK","Fb Financial Co...","1,160","amc","0.42","0.43","+0.01","+2.38%","2.80%",""
"CBF","Capital Bank Fi...","2,153","bmo","0.43","0.44","+0.01","+2.33%","1.25%",""
"CMCSA","Comcast Corpora...","172,557","bmo","0.44","0.45","+0.01","+2.27%","2.81%",""
"SYBT","Stock Yards Ban...","862","--","0.45","0.46","+0.01","+2.22%","--",""
"SMCI","Super Micro Com...","1,093","amc","0.47","0.48","+0.01","+2.13%","-6.48%",""
"WCC","Wesco Internati...","2,852","bmo","0.94","0.96","+0.02","+2.13%","-0.40%",""
"JBLU","Jetblue Airways...","6,657","bmo","0.49","0.50","+0.01","+2.04%","-3.08%",""
"EMN","Eastman Chemica...","12,731","amc","1.48","1.51","+0.03","+2.03%","-3.23%",""
"FII","Federated Inves...","3,194","amc","0.51","0.52","+0.01","+1.96%","-3.86%",""
"SWK","Stanley Black &...","24,298","bmo","1.68","1.71","+0.03","+1.79%","-0.15%",""
"IBKC","Iberiabank Corp...","4,381","amc","1.14","1.16","+0.02","+1.75%","0.18%",""
"GWB","Great Western B...","2,406","bmo","0.62","0.63","+0.01","+1.61%","1.25%",""
"BMS","Bemis Company,...","4,200","bmo","0.66","0.67","+0.01","+1.52%","-3.58%",""
"WAL","Western Allianc...","5,589","--","0.66","0.67","+0.01","+1.52%","--",""
"BCR","C.r. Bard, Inc....","23,493","amc","2.73","2.77","+0.04","+1.47%","5.24%",""
"BIIB","Biogen Inc.","70,973","bmo","4.97","5.04","+0.07","+1.41%","2.07%",""
"RTN","Raytheon Compan...","54,773","bmo","1.86","1.88","+0.02","+1.08%","-2.70%",""
"RCL","Royal Caribbean...","27,403","bmo","1.22","1.23","+0.01","+0.82%","9.09%",""
"DLX","Deluxe Corporat...","3,502","bmo","1.34","1.35","+0.01","+0.75%","-2.09%",""
"CELG","Celgene Corpora...","106,955","bmo","1.60","1.61","+0.01","+0.63%","-2.15%",""
"ABAX","Abaxis, Inc.","1,042","amc","0.30","0.30","0.00","0.00%","4.68%",""
"ADS","Alliance Data S...","12,693","bmo","4.67","4.67","0.00","0.00%","-2.45%",""
"AJG","Arthur J. Galla...","11,192","amc","0.66","0.66","0.00","0.00%","1.54%",""
"COBZ","Cobiz Financial...","815","--","0.21","0.21","0.00","0.00%","--",""
"DCOM","Dime Community...","820","amc","0.33","0.33","0.00","0.00%","6.04%",""
"EURN","Euronav Nv","1,369","--","0.09","0.09","0.00","0.00%","--",""
"FFIN","First Financial...","3,013","--","0.40","0.40","0.00","0.00%","--",""
"GBCI","Glacier Bancorp...","2,886","amc","0.41","0.41","0.00","0.00%","0.75%",""
"HFWA","Heritage Financ...","907","bmo","0.33","0.33","0.00","0.00%","-1.50%",""
"HTBK","Heritage Commer...","562","--","0.19","0.19","0.00","0.00%","--",""
"IBCP","Independent Ban...","482","bmo","0.27","0.27","0.00","0.00%","1.43%",""
"KNX","Swift Transport...","6,897","amc","0.56","0.56","0.00","0.00%","-1.27%",""
"LBAI","Lakeland Bancor...","985","--","0.26","0.26","0.00","0.00%","--",""
"MRTN","Marten Transpor...","1,036","--","0.15","0.15","0.00","0.00%","--",""
"MSCC","Microsemi Corpo...","5,951","amc","0.86","0.86","0.00","0.00%","-1.63%",""
"OCFC","Oceanfirst Fina...","903","amc","0.38","0.38","0.00","0.00%","-0.44%",""
"PSTB","Park Sterling C...","685","bmo","0.14","0.14","0.00","0.00%","0.34%",""
"PX","Praxair, Inc.","40,418","bmo","1.41","1.41","0.00","0.00%","-0.06%",""
"PYPL","Paypal Holdings...","80,933","amc","0.42","0.42","0.00","0.00%","-2.96%",""
"SBUX","Starbucks Corpo...","79,285","amc","0.52","0.52","0.00","0.00%","-4.00%",""
"TBNK","Territorial Ban...","320","--","0.46","0.46","0.00","0.00%","--",""
"FIBK","First Interstat...","2,165","amc","0.58","0.57","-0.01","-1.72%","1.08%",""
"FCAU","Fiat Chrysler A...","27,164","bmo","0.39","0.38","-0.01","-2.56%","0.73%",""
"GOOGL","Alphabet Inc.","699,355","amc","9.63","9.36","-0.27","-2.80%","-1.39%",""
"WHR","Whirlpool Corpo...","12,901","bmo","4.52","4.33","-0.19","-4.20%","-8.55%",""
"BMY","Bristol-myers S...","104,381","bmo","0.66","0.63","-0.03","-4.55%","-5.51%",""
"MATW","Matthews Intern...","1,991","amc","0.65","0.62","-0.03","-4.62%","-3.88%",""
"RHI","Robert Half Int...","6,189","amc","0.64","0.61","-0.03","-4.69%","-7.27%",""
"STBA","S&t Bancorp, In...","1,434","bmo","0.54","0.51","-0.03","-5.56%","1.02%",""
"F","Ford Motor Comp...","48,138","bmo","0.32","0.30","-0.02","-6.25%","-3.28%",""
"MBFI","Mb Financial In...","3,804","amc","0.57","0.53","-0.04","-7.02%","-1.09%",""
"ISTR","Investar Holdin...","211","--","0.28","0.26","-0.02","-7.14%","--",""
"ISCA","International S...","1,743","bmo","0.78","0.72","-0.06","-7.69%","1.08%",""
"WSFS","Wsfs Financial...","1,588","amc","0.61","0.56","-0.05","-8.20%","-2.17%",""
"HP","Helmerich & Pay...","5,704","bmo","-0.37","-0.41","-0.04","-10.81%","-7.40%",""
"TROW","T. Rowe Price G...","22,791","--","1.41","1.21","-0.20","-14.18%","--",""
"STBZ","State Bank Fina...","1,144","bmo","0.33","0.28","-0.05","-15.15%","-0.97%",""
"POT","Potash Corporat...","16,306","bmo","0.09","0.07","-0.02","-22.22%","-3.02%",""
"WRLD","World Acceptanc...","721","bmo","1.43","1.10","-0.33","-23.08%","-18.33%",""
"HTH","Hilltop Holding...","2,536","amc","0.47","0.36","-0.11","-23.40%","-1.50%",""
"SXCP","Suncoke Energy...","818","bmo","1.03","0.78","-0.25","-24.27%","-5.82%",""
"DOV","Dover Corporati...","14,759","bmo","0.95","0.71","-0.24","-25.26%","-1.39%",""
"WYNN","Wynn Resorts, L...","15,058","--","0.67","0.50","-0.17","-25.37%","--",""
"HTBI","Hometrust Bancs...","497","--","0.25","0.17","-0.08","-32.00%","--",""
"CLFD","Clearfield, Inc...","192","bmo","0.09","0.06","-0.03","-33.33%","-0.26%",""
"ERIC","Ericsson","19,705","bmo","0.11","0.07","-0.04","-36.36%","3.06%",""
"CMCO","Columbus Mckinn...","852","bmo","0.37","0.22","-0.15","-40.54%","-4.47%",""
"SXC","Suncoke Energy,...","631","bmo","0.44","0.26","-0.18","-40.91%","-6.95%",""
"UIS","Unisys Corporat...","444","amc","0.06","-0.02","-0.08","-133.33%","-8.36%",""
"CAFD","8point3 Energy...","1,230","amc","-0.01","--","--","--","-7.39%",""
"LTRX","Lantronix, Inc....","38","amc","-0.05","--","--","--","32.72%",""
"LVMUY","Lvmh-moet Henne...","144,064","--","--","--","--","--","--",""
"UL","Unilever Plc","74,925","bmo","--","--","--","--","-4.86%",""
"UN","Unilever Nv","104,907","bmo","--","--","--","--","-4.84%",""
"VMW","Vmware, Inc.","47,172","amc","1.40","--","--","--","3.49%",""
