"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CNOB","Connectone Banc...","812","--","-0.08","0.40","+0.48","+600.00%","--",""
"EQBK","Equity Bancshar...","436","amc","-0.08","0.37","+0.45","+562.50%","0.29%",""
"GNBC","Green Bancorp,...","875","amc","-0.10","0.07","+0.17","+170.00%","6.25%",""
"OSK","Oshkosh Corpora...","6,572","bmo","0.11","0.26","+0.15","+136.36%","-1.44%",""
"LYTS","Lsi Industries...","167","--","0.05","0.10","+0.05","+100.00%","--",""
"CRR","Carbo Ceramics,...","185","bmo","-0.70","-0.26","+0.44","+62.86%","29.21%",""
"NBHC","National Bank H...","964","amc","0.23","0.36","+0.13","+56.52%","4.43%",""
"ORI","Old Republic In...","5,211","--","0.30","0.43","+0.13","+43.33%","--",""
"PFPT","Proofpoint, Inc...","4,222","amc","0.13","0.18","+0.05","+38.46%","-5.69%",""
"AMRB","American River...","96","amc","0.21","0.29","+0.08","+38.10%","0.59%",""
"FFNW","First Financial...","194","--","0.22","0.29","+0.07","+31.82%","--",""
"NURO","Neurometrix, In...","4","bmo","-6.00","-4.16","+1.84","+30.67%","6.85%",""
"FBIZ","First Business...","199","--","0.36","0.46","+0.10","+27.78%","--",""
"CAT","Caterpillar, In...","77,695","bmo","0.65","0.83","+0.18","+27.69%","-0.95%",""
"CUBI","Customers Banco...","1,017","bmo","0.60","0.76","+0.16","+26.67%","-0.63%",""
"FBP","First Bancorp.","1,039","bmo","0.09","0.11","+0.02","+22.22%","0.44%",""
"AEP","American Electr...","35,963","bmo","0.55","0.67","+0.12","+21.82%","0.18%",""
"GHL","Greenhill & Co....","507","amc","0.63","0.74","+0.11","+17.46%","3.15%",""
"ABMD","Abiomed, Inc.","7,522","bmo","0.29","0.34","+0.05","+17.24%","-7.60%",""
"CMRE","Costamare Inc.","656","amc","0.24","0.28","+0.04","+16.67%","1.86%",""
"VVV","Valvoline Inc.","4,869","amc","0.30","0.35","+0.05","+16.67%","5.20%",""
"MSBI","Midland States...","630","amc","0.62","0.72","+0.10","+16.13%","-1.93%",""
"ASH","Ashland Global...","4,178","amc","1.00","1.16","+0.16","+16.00%","2.29%",""
"PHM","Pultegroup, Inc...","8,179","bmo","0.58","0.67","+0.09","+15.52%","3.62%",""
"OSIS","Osi Systems, In...","1,790","amc","0.59","0.68","+0.09","+15.25%","5.09%",""
"DGII","Digi Internatio...","293","amc","0.07","0.08","+0.01","+14.29%","-1.10%",""
"ORRF","Orrstown Financ...","211","--","0.21","0.24","+0.03","+14.29%","--",""
"AZPN","Aspen Technolog...","4,789","amc","0.46","0.52","+0.06","+13.04%","-5.06%",""
"ISBC","Investors Banco...","4,224","amc","0.16","0.18","+0.02","+12.50%","2.55%",""
"RVSB","Riverview Banco...","203","--","0.08","0.09","+0.01","+12.50%","--",""
"LLL","L-3 Communicati...","14,576","bmo","2.12","2.38","+0.26","+12.26%","3.18%",""
"LEA","Lear Corporatio...","11,839","bmo","3.40","3.80","+0.40","+11.76%","-1.73%",""
"PCBK","Pacific Contine...","610","amc","0.27","0.30","+0.03","+11.11%","-1.15%",""
"SYNA","Synaptics Incor...","1,239","amc","1.35","1.49","+0.14","+10.37%","-6.50%",""
"SBBX","Sussex Bancorp","152","--","0.29","0.32","+0.03","+10.34%","--",""
"FRME","First Merchants...","2,126","--","0.50","0.55","+0.05","+10.00%","--",""
"NATI","National Instru...","5,799","amc","0.31","0.34","+0.03","+9.68%","-1.95%",""
"DST","Dst Systems, In...","3,352","bmo","0.76","0.83","+0.07","+9.21%","2.60%",""
"WFBI","Washingtonfirst...","463","--","0.33","0.36","+0.03","+9.09%","--",""
