"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"HZO","Marinemax, Inc....","389","bmo","-0.03","0.11","+0.14","+466.67%","13.74%",""
"AKS","Ak Steel Holdin...","1,791","bmo","0.07","0.25","+0.18","+257.14%","-6.57%",""
"IIVI","Ii-vi Incorpora...","2,563","bmo","0.26","0.49","+0.23","+88.46%","14.81%",""
"ATI","Allegheny Techn...","2,717","bmo","-0.11","-0.04","+0.07","+63.64%","31.14%",""
"EBSB","Meridian Bancor...","1,038","--","0.15","0.22","+0.07","+46.67%","--",""
"LOGI","Logitech Intern...","5,898","amc","0.43","0.56","+0.13","+30.23%","13.15%",""
"PLD","Prologis, Inc.","34,571","bmo","0.63","0.82","+0.19","+30.16%","-1.89%",""
"STX","Seagate Technol...","9,927","amc","1.07","1.38","+0.31","+28.97%","13.97%",""
"CREE","Cree, Inc.","2,860","amc","0.16","0.20","+0.04","+25.00%","5.18%",""
"ACFC","Atlantic Coast...","135","--","0.09","0.11","+0.02","+22.22%","--",""
"ONB","Old National Ba...","2,500","bmo","0.23","0.28","+0.05","+21.74%","1.72%",""
"TRV","The Travelers C...","35,548","bmo","2.68","3.20","+0.52","+19.40%","-1.02%",""
"OKSB","Southwest Banco...","524","amc","0.28","0.33","+0.05","+17.86%","0.35%",""
"DHI","D.r. Horton, In...","15,484","bmo","0.47","0.55","+0.08","+17.02%","6.61%",""
"GLW","Corning Incorpo...","26,996","bmo","0.44","0.50","+0.06","+13.64%","5.69%",""
"BABA","Alibaba Group H...","459,881","bmo","1.15","1.30","+0.15","+13.04%","3.07%",""
"FITB","Fifth Third Ban...","20,901","bmo","0.43","0.48","+0.05","+11.63%","0.38%",""
"NCOM","National Commer...","602","amc","0.40","0.44","+0.04","+10.00%","1.09%",""
"FISI","Financial Insti...","454","amc","0.52","0.57","+0.05","+9.62%","-0.15%",""
"HAFC","Hanmi Financial...","1,011","bmo","0.42","0.46","+0.04","+9.52%","1.75%",""
"SAP","Sap Se","137,451","bmo","1.50","1.64","+0.14","+9.33%","0.37%",""
"UCFC","United Communit...","495","amc","0.11","0.12","+0.01","+9.09%","7.62%",""
"TXN","Texas Instrumen...","93,291","amc","0.81","0.88","+0.07","+8.64%","1.95%",""
"PPBI","Pacific Premier...","1,620","bmo","0.42","0.45","+0.03","+7.14%","9.03%",""
"UMBF","Umb Financial C...","3,744","bmo","0.85","0.91","+0.06","+7.06%","3.37%",""
