"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CPAH","Counterpath Cor...","13","--","-0.14","-0.05","+0.09","+64.29%","--",""
"ORCL","Oracle Corporat...","205,294","amc","0.61","0.62","+0.01","+1.64%","-7.67%",""
"PBSV","Pharma-bio Serv...","10","--","-0.01","-0.01","0.00","0.00%","--",""
"VIRC","Virco Manufactu...","87","--","0.34","0.33","-0.01","-2.94%","--",""
"ASPU","Aspen Group Inc...","107","amc","-0.03","-0.06","-0.03","-100.00%","-2.31%",""
