"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"JNJ","Johnson & Johns...","365,346","bmo","1.80","1.90","+0.10","+5.56%","3.43%",""
"UNH","Unitedhealth Gr...","186,797","bmo","2.57","2.66","+0.09","+3.50%","5.53%",""
"IBM","International B...","136,837","amc","3.28","3.30","+0.02","+0.61%","9.57%",""
"GS","Goldman Sachs G...","93,782","bmo","4.31","5.02","+0.71","+16.47%","-2.61%",""
"MS","Morgan Stanley","89,882","bmo","0.81","0.93","+0.12","+14.81%","0.37%",""
"CSX","Csx Corporation...","48,259","bmo","0.51","0.51","0.00","0.00%","2.63%",""
"PLD","Prologis, Inc.","34,571","bmo","0.67","1.63","+0.96","+143.28%","-1.06%",""
"LRCX","Lam Research Co...","31,250","amc","3.27","3.46","+0.19","+5.81%","1.96%",""
"PGR","Progressive Cor...","28,460","bmo","0.34","0.41","+0.07","+20.59%","-0.88%",""
"WIT","Wipro Limited","26,545","--","0.06","0.07","+0.01","+16.67%","--",""
"CP","Canadian Pacifi...","24,609","amc","2.31","2.31","0.00","0.00%","5.55%",""
"IBKR","Interactive Bro...","19,646","amc","0.37","0.43","+0.06","+16.22%","4.89%",""
"OMC","Omnicom Group I...","17,060","bmo","1.10","1.13","+0.03","+2.73%","2.25%",""
"CMA","Comerica Incorp...","13,253","bmo","1.20","1.26","+0.06","+5.00%","-0.72%",""
"GWW","W.w. Grainger,...","10,520","bmo","2.57","2.90","+0.33","+12.84%","12.65%",""
"HOG","Harley-davidson...","7,945","bmo","0.40","0.40","0.00","0.00%","2.04%",""
"PACW","Pacwest Bancorp...","5,773","--","0.76","0.84","+0.08","+10.53%","--",""
"SNV","Synovus Financi...","5,668","bmo","0.64","0.65","+0.01","+1.56%","-1.69%",""
"PNFP","Pinnacle Financ...","5,148","amc","0.89","0.90","+0.01","+1.12%","2.15%",""
"HBHC","Hancock Holding...","4,152","amc","0.74","0.76","+0.02","+2.70%","1.97%",""
"HCSG","Healthcare Serv...","3,985","--","0.32","0.31","-0.01","-3.13%","--",""
"FULT","Fulton Financia...","3,368","amc","0.28","0.28","0.00","0.00%","-2.11%",""
"NAVI","Navient Corpora...","3,215","amc","0.50","0.55","+0.05","+10.00%","-0.41%",""
"CREE","Cree, Inc.","2,860","amc","0.03","0.04","+0.01","+33.33%","20.11%",""
"WWW","Wolverine World...","2,680","--","0.37","--","--","--","--",""
"RNST","Renasant Corpor...","2,115","amc","0.60","0.62","+0.02","+3.33%","-0.40%",""
"UFPI","Universal Fores...","2,031","amc","1.43","1.64","+0.21","+14.69%","7.49%",""
"OMAB","Grupo Aeroportu...","1,724","--","0.70","0.66","-0.04","-5.71%","--",""
"CSFL","Centerstate Ban...","1,633","--","0.35","--","--","--","--",""
"SYNT","Syntel, Inc.","1,598","bmo","0.41","0.51","+0.10","+24.39%","27.23%",""
"SCSS","Select Comfort...","1,255","amc","0.68","0.62","-0.06","-8.82%","2.86%",""
"ADTN","Adtran, Inc.","1,147","amc","0.27","--","--","--","-4.60%",""
"HAFC","Hanmi Financial...","1,011","bmo","0.46","0.46","0.00","0.00%","-1.28%",""
"UBNK","United Financia...","949","amc","0.29","0.30","+0.01","+3.45%","-1.28%",""
"PZN","Pzena Investmen...","814","amc","0.15","0.17","+0.02","+13.33%","0.59%",""
"MBWM","Mercantile Bank...","581","bmo","0.48","0.51","+0.03","+6.25%","1.99%",""
"OKSB","Southwest Banco...","524","--","0.31","--","--","--","--",""
"UCFC","United Communit...","495","amc","0.15","0.15","0.00","0.00%","0.41%",""
"TTS","Tile Shop Hldgs...","439","bmo","0.04","0.05","+0.01","+25.00%","-1.78%",""
"HBMD","Howard Bancorp,...","217","--","0.25","--","--","--","--",""
"GFED","Guaranty Federa...","97","--","0.38","0.39","+0.01","+2.63%","--",""
"BCLI","Brainstorm Cell...","76","bmo","-0.10","-0.13","-0.03","-30.00%","-3.09%",""
