"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"MON","Monsanto Compan...","53,782","bmo","-0.03","0.21","+0.24","+800.00%","0.15%",""
"HELE","Helen Of Troy L...","2,607","amc","1.91","2.37","+0.46","+24.08%","7.68%",""
"STZ","Constellation B...","41,165","bmo","1.72","1.96","+0.24","+13.95%","-7.11%",""
"PSMT","Pricesmart, Inc...","2,739","amc","0.78","0.82","+0.04","+5.13%","6.03%",""
"WBA","Walgreens Boots...","72,028","bmo","1.09","1.10","+0.01","+0.92%","0.06%",""
"RPM","Rpm Internation...","6,908","bmo","0.60","0.52","-0.08","-13.33%","-4.08%",""
"AEHR","Aehr Test Syste...","76","amc","-0.07","-0.08","-0.01","-14.29%","1.74%",""
"PKE","Park Electroche...","388","bmo","0.14","0.10","-0.04","-28.57%","-6.61%",""
"FC","Franklin Covey...","272","amc","-0.11","-0.29","-0.18","-163.64%","-4.27%",""
"SCHN","Schnitzer Steel...","787","bmo","0.01","-0.03","-0.04","-400.00%","-6.48%",""
