"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"BAC","Bank Of America...","276,832","bmo","0.46","0.48","+0.02","+4.35%","1.49%",""
"WFC","Wells Fargo & C...","267,060","bmo","1.04","1.04","0.00","0.00%","-2.73%",""
"PNC","Pnc Financial S...","64,707","bmo","2.13","2.16","+0.03","+1.41%","-1.12%",""
"FRC","First Republic...","15,249","bmo","1.16","1.14","-0.02","-1.72%","-7.05%",""
"JBHT","J.b. Hunt Trans...","11,123","bmo","0.96","0.91","-0.05","-5.21%","-4.01%",""
"FHN","First Horizon N...","4,514","bmo","0.30","0.32","+0.02","+6.67%","0.58%",""
"DFRG","Del Frisco's Re...","263","bmo","-0.02","-0.03","-0.01","-50.00%","-11.76%",""
