"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"ABCB","Ameris Bancorp","1,830","bmo","0.65","--","--","--","-2.73%",""
"ADS","Alliance Data S...","12,591","bmo","5.03","--","--","--","1.94%",""
"AMNB","American Nation...","361","--","0.53","--","--","--","--",""
"ASB","Associated Banc...","3,655","amc","0.36","--","--","--","--",""
"ASR","Grupo Aeroportu...","5,197","amc","2.07","--","--","--","--",""
"ATHN","Athenahealth, I...","4,792","amc","0.50","--","--","--","--",""
"BANF","Bancfirst Corpo...","1,819","--","0.71","--","--","--","--",""
"BBT","Bb&t Corporatio...","37,592","bmo","0.78","--","--","--","0.43%",""
"BK","Bank Of New Yor...","55,749","bmo","0.93","--","--","--","-2.96%",""
"BMTC","Bryn Mawr Bank...","757","amc","0.60","--","--","--","--",""
"BX","The Blackstone...","21,454","bmo","0.55","--","--","--","1.55%",""
"CAI","Cai Internation...","586","amc","0.72","--","--","--","--",""
"CARO","Carolina Financ...","581","amc","0.51","--","--","--","--",""
"CBF","Capital Bank Fi...","2,119","--","0.48","--","--","--","--",""
"CCNE","Cnb Financial C...","429","--","0.39","--","--","--","--",""
"CLW","Clearwater Pape...","712","amc","0.22","--","--","--","--",""
"COBZ","Cobiz Financial...","803","amc","0.23","--","--","--","--",""
"CVTI","Covenant Transp...","487","amc","0.17","--","--","--","--",""
"DGX","Quest Diagnosti...","12,574","bmo","1.35","--","--","--","1.28%",""
"DHR","Danaher Corpora...","59,229","bmo","0.95","--","--","--","4.71%",""
"DNBF","Dnb Financial C...","142","--","0.52","--","--","--","--",""
"DOV","Dover Corporati...","14,647","bmo","1.11","--","--","--","-4.35%",""
"EGP","Eastgroup Prope...","3,134","amc","1.08","--","--","--","--",""
"ENFC","Entegra Financi...","170","--","0.37","--","--","--","--",""
"EQBK","Equity Bancshar...","429","amc","0.49","--","--","--","--",""
"ETFC","E*trade Financi...","12,027","amc","0.51","--","--","--","--",""
"EWBC","East West Banco...","8,249","bmo","0.87","--","--","--","3.50%",""
"FFBC","First Financial...","1,619","amc","0.38","--","--","--","--",""
"FFIN","First Financial...","2,960","--","0.44","--","--","--","--",""
"FMNB","Farmers Nationa...","409","--","0.21","--","--","--","--",""
"FNB","F.n.b. Corporat...","4,503","bmo","0.24","--","--","--","-3.23%",""
"FVCB","Fvcbankcorp, In...","191","--","0.20","--","--","--","--",""
"GATX","Gatx Corporatio...","2,475","bmo","0.99","--","--","--","-4.74%",""
"GBCI","Glacier Bancorp...","2,861","amc","0.47","--","--","--","--",""
"GPC","Genuine Parts C...","14,222","bmo","1.28","--","--","--","-8.50%",""
"HA","Hawaiian Holdin...","2,132","amc","1.85","--","--","--","--",""
"HOMB","Home Bancshares...","4,400","bmo","0.33","--","--","--","-2.04%",""
"HTLD","Heartland Expre...","1,908","--","0.17","--","--","--","--",""
"IBKC","Iberiabank Corp...","4,266","amc","1.13","--","--","--","--",""
"ICBK","County Bancorp,...","202","--","0.39","--","--","--","--",""
"INBK","First Internet...","285","--","0.70","--","--","--","--",""
"INDB","Independent Ban...","2,017","amc","0.91","--","--","--","--",""
"ISRG","Intuitive Surgi...","39,707","amc","1.97","--","--","--","--",""
"JRONY","Jeronimo Martin...","11,629","--","0.42","--","--","--","--",""
"KEY","Keycorp","19,782","bmo","0.35","--","--","--","-1.78%",""
"LHO","Lasalle Hotel P...","3,417","amc","0.73","--","--","--","--",""
"LION","Fidelity Southe...","622","--","0.36","--","--","--","--",""
"MBFI","Mb Financial In...","3,757","bmo","0.64","--","--","--","2.37%",""
"MRTN","Marten Transpor...","1,019","amc","0.13","--","--","--","--",""
"MSA","Msa Safety Inco...","3,061","amc","0.80","--","--","--","--",""
"MXIM","Maxim Integrate...","14,048","amc","0.55","--","--","--","--",""
"NAP","Navios Maritime...","93","bmo","0.21","--","--","--","-3.27%",""
"NCR","Ncr Corporation...","4,536","amc","0.90","--","--","--","--",""
"NUE","Nucor Corporati...","18,242","bmo","0.78","--","--","--","2.34%",""
"NURO","Neurometrix, In...","4","bmo","-1.75","--","--","--","-8.99%",""
"NVR","Nvr, Inc.","10,868","bmo","36.11","--","--","--","7.84%",""
"OLBK","Old Line Bancsh...","360","--","0.41","--","--","--","--",""
"PBCT","People's United...","6,233","amc","0.25","--","--","--","--",""
"PFPT","Proofpoint, Inc...","4,190","amc","0.18","--","--","--","--",""
"PM","Philip Morris I...","174,967","bmo","1.39","--","--","--","-3.88%",""
"POOL","Pool Corporatio...","4,549","bmo","1.14","--","--","--","5.20%",""
"PPG","Ppg Industries,...","28,940","bmo","1.52","--","--","--","1.27%",""
"PYPL","Paypal Holdings...","80,164","amc","0.44","--","--","--","--",""
"RCI","Rogers Communic...","27,789","bmo","0.79","--","--","--","-1.62%",""
"SAP","Sap Se","136,837","bmo","1.14","--","--","--","1.46%",""
"SASR","Sandy Spring Ba...","1,023","bmo","0.64","--","--","--","-0.21%",""
"SBNY","Signature Bank","6,642","bmo","2.19","--","--","--","1.11%",""
"SKX","Skechers U.s.a....","3,927","amc","0.43","--","--","--","--",""
"SNA","Snap-on Incorpo...","8,767","bmo","2.43","--","--","--","1.74%",""
"SON","Sonoco Products...","5,109","bmo","0.74","--","--","--","1.88%",""
"SONA","Southern Nation...","402","--","0.23","--","--","--","--",""
"SRCE","1st Source Corp...","1,342","--","0.66","--","--","--","--",""
"STBA","S&t Bancorp, In...","1,423","bmo","0.60","--","--","--","1.33%",""
"SXT","Sensient Techno...","3,414","amc","0.86","--","--","--","--",""
"TACO","Del Taco Restau...","600","amc","0.13","--","--","--","--",""
"TEAM","Atlassian Corpo...","3,704","amc","0.09","--","--","--","--",""
"TRV","The Travelers C...","35,501","bmo","0.52","--","--","--","2.42%",""
"TSM","Taiwan Semicond...","213,923","bmo","0.56","--","--","--","-1.04%",""
"TXT","Textron Inc.","14,048","bmo","0.62","--","--","--","-0.88%",""
"VIVO","Meridian Biosci...","631","bmo","0.14","--","--","--","0.66%",""
"VZ","Verizon Communi...","197,443","bmo","0.98","--","--","--","1.15%",""
"WAL","Western Allianc...","5,482","amc","0.78","--","--","--","--",""
"WBC","Wabco Holdings...","7,940","bmo","1.53","--","--","--","4.03%",""
"WBS","Webster Financi...","4,825","bmo","0.64","--","--","--","3.58%",""
"WDFC","Wd-40 Company","1,603","amc","0.97","--","--","--","--",""
"WERN","Werner Enterpri...","2,508","amc","0.32","--","--","--","--",""
"WFBI","Washingtonfirst...","456","--","0.42","--","--","--","--",""
"WGO","Winnebago Indus...","1,376","bmo","0.72","--","--","--","3.27%",""
