"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"LCII","Lci Industries","3,009","bmo","1.56","1.59","+0.03","+1.92%","-3.21%",""
"CBM","Cambrex Corpora...","1,695","bmo","0.75","0.76","+0.01","+1.33%","-5.34%",""
"CBOE","Cboe Holdings,...","12,353","bmo","0.86","0.87","+0.01","+1.16%","-1.57%",""
"NWL","Newell Brands I...","20,555","bmo","0.86","0.87","+0.01","+1.16%","-3.56%",""
"AINV","Apollo Investme...","1,323","bmo","0.15","0.15","0.00","0.00%","0.16%",""
"AON","Aon Plc","39,101","bmo","1.45","1.45","0.00","0.00%","-0.01%",""
"ARES","Ares Management...","1,536","bmo","0.69","0.69","0.00","0.00%","-0.27%",""
"BRK.A","Berkshire Hatha...","460,922","--","2,732.08","2,505.00","0.00","0.00%","--",""
"CCC","Calgon Carbon C...","1,090","bmo","0.14","0.14","0.00","0.00%","-1.29%",""
"CNK","Cinemark Holdin...","4,128","bmo","0.44","0.44","0.00","0.00%","1.48%",""
"USM","United States C...","3,093","bmo","0.17","0.17","0.00","0.00%","2.87%",""
"AMC","Amc Entertainme...","1,800","bmo","-1.33","-1.35","-0.02","-1.50%","7.62%",""
"HMSY","Hms Holdings Co...","1,596","bmo","0.17","0.16","-0.01","-5.88%","-2.52%",""
"PBPB","Potbelly Corpor...","314","bmo","0.12","0.11","-0.01","-8.33%","2.29%",""
"BRK.B","Berkshire Hatha...","462,278","--","1.85","1.67","-0.18","-9.73%","--",""
"PTI","Proteostasis Th...","54","--","-0.61","-0.68","-0.07","-11.48%","--",""
"OLBK","Old Line Bancsh...","360","--","0.41","0.36","-0.05","-12.20%","--",""
"CBB","Cincinnati Bell...","837","bmo","0.08","0.07","-0.01","-12.50%","20.00%",""
"BPL","Buckeye Partner...","7,630","bmo","1.00","0.80","-0.20","-20.00%","-1.62%",""
"SUP","Superior Indust...","422","bmo","0.48","0.37","-0.11","-22.92%","-6.53%",""
"OESX","Orion Energy Sy...","29","bmo","-0.13","-0.17","-0.04","-30.77%","-1.93%",""
"TDS","Telephone And D...","3,145","bmo","0.13","0.09","-0.04","-30.77%","1.19%",""
"WPC","W.p. Carey Inc....","7,405","bmo","1.15","0.59","-0.56","-48.70%","1.09%",""
"GDEN","Golden Entertai...","543","bmo","0.21","0.07","-0.14","-66.67%","4.07%",""
"SPKE","Spark Energy, I...","492","amc","0.20","0.01","-0.19","-95.00%","8.05%",""
"USAC","Usa Compression...","1,037","bmo","0.03","0.00","-0.03","-100.00%","-8.94%",""
"CDR","Cedar Realty Tr...","517","bmo","0.14","-0.10","-0.24","-171.43%","3.53%",""
"PLYA","Playa Hotels &...","1,168","bmo","0.01","-0.03","-0.04","-400.00%","1.97%",""
"ATNM","Actinium Pharma...","57","--","-0.14","--","--","--","--",""
"GDP","Goodrich Petrol...","99","bmo","-0.26","--","--","--","-0.84%",""
"GHM","Graham Corporat...","209","bmo","0.00","0.10","--","--","-0.05%",""
"TRVG","Trivago N.v. Ad...","2,586","bmo","0.00","-0.01","--","--","-18.60%",""
"VST","Vistra Energy C...","8,128","bmo","0.04","--","--","--","2.97%",""
