"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"TWIN","Twin Disc, Inco...","246","bmo","0.02","0.10","+0.08","+400.00%","3.68%",""
"DRAD","Digirad Corpora...","48","bmo","0.03","0.08","+0.05","+166.67%","0.00%",""
"WTM","White Mountains...","3,277","--","1.12","2.78","+1.66","+148.21%","--",""
"CLMT","Calumet Special...","602","bmo","-0.46","0.12","+0.58","+126.09%","-1.87%",""
"RBS","Royal Bank Scot...","43,229","bmo","0.14","0.24","+0.10","+71.43%","0.88%",""
"BEP","Brookfield Rene...","5,837","bmo","0.08","0.13","+0.05","+62.50%","0.47%",""
"LONE","Lonestar Resour...","77","amc","-0.16","-0.06","+0.10","+62.50%","0.26%",""
"JOUT","Johnson Outdoor...","722","bmo","1.03","1.65","+0.62","+60.19%","3.95%",""
"VGR","Vector Group Lt...","2,794","bmo","0.17","0.24","+0.07","+41.18%","4.22%",""
"SRE","Sempra Energy","28,633","bmo","0.80","1.10","+0.30","+37.50%","1.00%",""
"TM","Toyota Motor Co...","184,243","--","2.68","3.65","+0.97","+36.19%","--",""
"GOLD","Randgold Resour...","9,151","bmo","0.74","0.88","+0.14","+18.92%","-0.98%",""
"CI","Cigna Corporati...","47,133","bmo","2.48","2.91","+0.43","+17.34%","-1.99%",""
"CTB","Cooper Tire & R...","1,910","bmo","0.74","0.85","+0.11","+14.86%","0.97%",""
"AEE","Ameren Corporat...","14,789","bmo","0.69","0.79","+0.10","+14.49%","0.88%",""
"BBD","Banco Bradesco...","76,909","--","0.21","0.24","+0.03","+14.29%","--",""
"EPZM","Epizyme, Inc.","1,193","bmo","-0.56","-0.48","+0.08","+14.29%","13.65%",""
"ESNT","Essent Group Lt...","4,274","bmo","0.68","0.77","+0.09","+13.24%","4.27%",""
"WCG","Wellcare Health...","7,746","bmo","2.23","2.52","+0.29","+13.00%","-5.10%",""
"OFS","Ofs Capital Cor...","175","bmo","0.30","0.33","+0.03","+10.00%","-4.01%",""
"UNVR","Univar Inc.","4,145","bmo","0.31","0.34","+0.03","+9.68%","1.05%",""
"ARQL","Arqule, Inc.","77","bmo","-0.11","-0.10","+0.01","+9.09%","1.82%",""
"SNI","Scripps Network...","10,806","bmo","1.65","1.79","+0.14","+8.48%","-0.86%",""
"ABR","Arbor Realty Tr...","518","bmo","0.20","0.21","+0.01","+5.00%","0.85%",""
"LGCY","Legacy Reserves...","110","amc","-0.20","-0.19","+0.01","+5.00%","3.57%",""
"IBP","Installed Build...","2,087","bmo","0.57","0.59","+0.02","+3.51%","9.51%",""
"PULM","Pulmatrix, Inc....","40","--","-0.30","-0.29","+0.01","+3.33%","--",""
"ITT","Itt Inc.","4,090","bmo","0.63","0.65","+0.02","+3.17%","3.63%",""
