"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"AEHR","Aehr Test Syste...","75","amc","-0.01","0.01","+0.02","+200.00%","16.19%",""
"OMN","Omnova Solution...","496","bmo","0.19","0.25","+0.06","+31.58%","9.19%",""
"SGH","Smart Global Ho...","665","amc","0.64","0.79","+0.15","+23.44%","19.02%",""
"MTN","Vail Resorts, I...","8,764","bmo","-1.82","-1.43","+0.39","+21.43%","-2.74%",""
"BSET","Bassett Furnitu...","414","--","0.38","0.43","+0.05","+13.16%","--",""
"CAG","Conagra Brands...","13,975","bmo","0.41","0.46","+0.05","+12.20%","1.83%",""
"KBH","Kb Home","2,350","amc","0.47","0.51","+0.04","+8.51%","8.55%",""
"MKC","Mccormick & Com...","12,991","bmo","1.05","1.12","+0.07","+6.67%","5.39%",""
"CMD","Cantel Medical...","3,982","bmo","0.52","0.54","+0.02","+3.85%","3.34%",""
"ACN","Accenture Plc","85,684","bmo","1.47","1.48","+0.01","+0.68%","-0.23%",""
"CAMP","Calamp Corp.","819","amc","0.27","0.27","0.00","0.00%","10.09%",""
"RAD","Rite Aid Corpor...","1,907","bmo","-0.01","-0.01","0.00","0.00%","-10.96%",""
"ANGO","Angiodynamics,...","632","bmo","0.16","0.12","-0.04","-25.00%","-13.17%",""
"FGP","Ferrellgas Part...","470","bmo","-0.45","-0.57","-0.12","-26.67%","-0.38%",""
