"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"SONC","Sonic Corp.","1,052","amc","0.22","0.24","+0.02","+9.09%","5.15%",""
"RECN","Resources Conne...","449","amc","0.19","0.18","-0.01","-5.26%","-12.47%",""
"UNF","Unifirst Corpor...","3,184","bmo","1.58","1.38","-0.20","-12.66%","-4.14%",""
"LNDC","Landec Corporat...","363","amc","0.06","0.05","-0.01","-16.67%","-5.94%",""
"MG","Mistras Group I...","585","amc","0.36","--","--","--","-7.98%",""
"PCYO","Pure Cycle Corp...","177","--","-0.02","--","--","--","--",""
