"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"ABCB","Ameris Bancorp","1,848","bmo","0.53","0.62","+0.09","+16.98%","2.25%",""
"RF","Regions Financi...","17,878","bmo","0.22","0.23","+0.01","+4.55%","0.43%",""
"SYF","Synchrony Finan...","25,053","bmo","0.67","0.70","+0.03","+4.48%","1.77%",""
"COL","Rockwell Collin...","21,926","bmo","1.15","1.20","+0.05","+4.35%","2.45%",""
"CFG","Citizens Financ...","18,550","bmo","0.53","0.55","+0.02","+3.77%","3.14%",""
"STI","Suntrust Banks,...","28,802","bmo","0.88","0.90","+0.02","+2.27%","1.86%",""
"PG","Procter & Gambl...","237,508","bmo","1.06","1.08","+0.02","+1.89%","3.25%",""
"GE","General Electri...","202,250","bmo","0.46","0.46","0.00","0.00%","-2.18%",""
"SLB","Schlumberger N....","92,817","bmo","0.27","0.27","0.00","0.00%","-0.81%",""
"KSU","Kansas City Sou...","10,742","bmo","1.17","1.12","-0.05","-4.27%","4.04%",""
"BOCH","Bank Of Commerc...","187","--","0.19","0.17","-0.02","-10.53%","--",""
"ANCX","Access National...","592","--","0.40","0.28","-0.12","-30.00%","--",""
