"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"MEOH","Methanex Corpor...","4,306","amc","0.15","0.46","+0.31","+206.67%","9.80%",""
"CSII","Cardiovascular...","897","amc","-0.06","0.03","+0.09","+150.00%","-5.72%",""
"OIIM","O2micro Interna...","49","bmo","-0.03","0.00","+0.03","+100.00%","-7.41%",""
"BHBK","Blue Hills Banc...","544","--","0.09","0.17","+0.08","+88.89%","--",""
"LOB","Live Oak Bancsh...","713","amc","0.11","0.17","+0.06","+54.55%","2.58%",""
"TER","Teradyne, Inc.","7,642","amc","0.21","0.32","+0.11","+52.38%","1.36%",""
"EGHT","8x8 Inc","1,240","amc","0.04","0.06","+0.02","+50.00%","-1.22%",""
"TRCB","Two River Banco...","164","--","0.21","0.29","+0.08","+38.10%","--",""
"DLB","Dolby Laborator...","6,069","amc","0.37","0.51","+0.14","+37.84%","-2.13%",""
"VRTX","Vertex Pharmace...","39,003","amc","0.26","0.35","+0.09","+34.62%","0.16%",""
"FCF","First Commonwea...","1,384","bmo","0.17","0.22","+0.05","+29.41%","3.90%",""
"NFBK","Northfield Banc...","853","--","0.14","0.18","+0.04","+28.57%","--",""
"RES","Rpc, Inc.","4,977","bmo","-0.13","-0.10","+0.03","+23.08%","3.51%",""
"PGR","Progressive Cor...","28,460","bmo","0.51","0.62","+0.11","+21.57%","3.17%",""
"BGG","Briggs & Stratt...","1,045","bmo","0.29","0.35","+0.06","+20.69%","0.64%",""
"ROK","Rockwell Automa...","23,927","bmo","1.45","1.75","+0.30","+20.69%","7.73%",""
"RLI","Rli Corp.","2,551","amc","0.47","0.56","+0.09","+19.15%","1.60%",""
"TSC","Tristate Capita...","664","amc","0.23","0.27","+0.04","+17.39%","2.24%",""
"CVCY","Central Valley...","293","--","0.18","0.21","+0.03","+16.67%","--",""
"URI","United Rentals,...","12,313","amc","2.30","2.67","+0.37","+16.09%","11.20%",""
"MUR","Murphy Oil Corp...","4,487","amc","-0.19","-0.16","+0.03","+15.79%","-3.36%",""
"QSII","Quality Systems...","982","amc","0.20","0.23","+0.03","+15.00%","2.83%",""
"TEL","Te Connectivity...","31,193","bmo","1.00","1.15","+0.15","+15.00%","4.87%",""
"NVR","Nvr, Inc.","11,027","--","33.39","37.80","+4.41","+13.21%","--",""
"WDC","Western Digital...","25,630","amc","2.06","2.30","+0.24","+11.65%","-1.94%",""
"STT","State Street Co...","36,850","bmo","1.34","1.48","+0.14","+10.45%","-3.38%",""
