"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"X","United States S...","4,665","amc","0.01","0.27","+0.26","+2,600.00%","-4.22%",""
"NTDOY","Nintendo Co.","56,305","bmo","0.13","0.61","+0.48","+369.23%","-2.68%",""
"RNR","Renaissancere H...","5,567","amc","1.42","2.92","+1.50","+105.63%","3.80%",""
"CNX","Consol Energy I...","3,580","bmo","-0.01","0.00","+0.01","+100.00%","-7.43%",""
"MMYT","Makemytrip Limi...","2,393","bmo","-0.50","-0.12","+0.38","+76.00%","2.14%",""
"FICO","Fair Isaac Corp...","4,518","amc","0.67","1.16","+0.49","+73.13%","-1.91%",""
"ACXM","Acxiom Corporat...","1,986","amc","0.15","0.24","+0.09","+60.00%","10.92%",""
"AMD","Advanced Micro...","13,501","amc","-0.02","-0.01","+0.01","+50.00%","16.30%",""
"HFBC","Hopfed Bancorp,...","97","--","0.12","0.18","+0.06","+50.00%","--",""
"NUE","Nucor Corporati...","18,274","bmo","0.34","0.50","+0.16","+47.06%","-3.34%",""
"OLN","Olin Corporatio...","5,896","amc","0.07","0.10","+0.03","+42.86%","11.90%",""
"VIAV","Viavi Solutions...","2,147","amc","0.07","0.10","+0.03","+42.86%","3.80%",""
"IMO","Imperial Oil Li...","26,621","bmo","0.29","0.40","+0.11","+37.93%","0.83%",""
"TNAV","Telenav, Inc.","288","amc","-0.11","-0.07","+0.04","+36.36%","8.43%",""
"CNHI","Cnh Industrial...","16,329","bmo","0.11","0.14","+0.03","+27.27%","-1.43%",""
"SIEGY","Siemens Ag","119,561","--","0.98","1.24","+0.26","+26.53%","--",""
"SMG","Scotts Miracle-...","5,827","bmo","-1.28","-0.96","+0.32","+25.00%","-1.09%",""
"XOM","Exxon Mobil Cor...","350,875","bmo","0.72","0.90","+0.18","+25.00%","-1.14%",""
"WDR","Waddell & Reed...","1,704","bmo","0.41","0.48","+0.07","+17.07%","0.45%",""
"PCH","Potlatch Corpor...","2,130","bmo","0.30","0.35","+0.05","+16.67%","3.65%",""
"MTCH","Match Group, In...","6,718","amc","0.25","0.29","+0.04","+16.00%","-4.89%",""
"ALLY","Ally Financial...","11,044","bmo","0.47","0.54","+0.07","+14.89%","7.26%",""
"AET","Aetna Inc.","50,233","bmo","1.45","1.63","+0.18","+12.41%","1.63%",""
"CB","D/b/a Chubb Lim...","69,961","amc","2.43","2.72","+0.29","+11.93%","-2.29%",""
"EA","Electronic Arts...","36,269","amc","2.31","2.58","+0.27","+11.69%","-0.52%",""
"OCLR","Oclaro, Inc.","1,412","amc","0.19","0.21","+0.02","+10.53%","-3.67%",""
"HUBB","Hubbell Inc","6,550","bmo","1.23","1.35","+0.12","+9.76%","3.62%",""
"ABC","Amerisourceberg...","17,310","bmo","1.24","1.36","+0.12","+9.68%","4.38%",""
"VLO","Valero Energy C...","34,194","bmo","0.74","0.81","+0.07","+9.46%","-3.62%",""
"ARNC","Arconic Inc.","11,983","amc","0.11","0.12","+0.01","+9.09%","10.93%",""
"NTCT","Netscout System...","2,852","bmo","0.55","0.60","+0.05","+9.09%","5.88%",""
"SF","Stifel Financia...","3,576","bmo","0.63","0.68","+0.05","+7.94%","1.25%",""
"MANH","Manhattan Assoc...","3,224","amc","0.43","0.46","+0.03","+6.98%","-6.96%",""
"PNR","Pentair Plc.","12,903","bmo","0.73","0.78","+0.05","+6.85%","-3.51%",""
"AXE","Anixter Interna...","2,862","bmo","1.23","1.31","+0.08","+6.50%","5.36%",""
"HCA","Hca Holdings, I...","27,162","bmo","1.78","1.89","+0.11","+6.18%","1.25%",""
"MAN","Manpowergroup","8,195","bmo","1.70","1.80","+0.10","+5.88%","0.85%",""
"ILMN","Illumina, Inc.","30,110","amc","0.81","0.85","+0.04","+4.94%","0.92%",""
"MSTR","Microstrategy I...","1,555","amc","2.57","2.69","+0.12","+4.67%","-2.38%",""
"CAC","Camden National...","678","--","0.67","0.70","+0.03","+4.48%","--",""
"AAPL","Apple Inc.","825,817","amc","3.22","3.36","+0.14","+4.35%","6.10%",""
"OFG","Ofg Bancorp","369","bmo","0.26","0.27","+0.01","+3.85%","2.32%",""
"ALGT","Allegiant Trave...","2,248","amc","2.40","2.48","+0.08","+3.33%","0.23%",""
"FBHS","Fortune Brands...","10,211","amc","0.69","0.71","+0.02","+2.90%","2.12%",""
"COH","Coach, Inc.","11,172","bmo","0.73","0.75","+0.02","+2.74%","3.81%",""
"CACC","Credit Acceptan...","5,459","amc","4.22","4.33","+0.11","+2.61%","-5.01%",""
"FFIC","Flushing Financ...","880","--","0.39","0.40","+0.01","+2.56%","--",""
"CHRW","C.h. Robinson W...","10,851","amc","0.84","0.86","+0.02","+2.38%","-1.25%",""
"DHR","Danaher Corpora...","59,834","bmo","1.03","1.05","+0.02","+1.94%","4.43%",""
"MTSI","Macom Technolog...","2,350","amc","0.56","0.57","+0.01","+1.79%","-3.24%",""
"TMO","Thermo Fisher S...","76,552","bmo","2.37","2.41","+0.04","+1.69%","6.35%",""
"ZBH","Zimmer Biomet H...","24,164","bmo","2.11","2.14","+0.03","+1.42%","2.55%",""
"MA","Mastercard Inco...","155,709","bmo","0.85","0.86","+0.01","+1.18%","-2.72%",""
"NDAQ","Nasdaq, Inc.","12,361","bmo","0.94","0.95","+0.01","+1.06%","3.46%",""
"ALGN","Align Technolog...","15,499","amc","0.67","0.67","0.00","0.00%","6.06%",""
"AUDC","Audiocodes Ltd....","254","bmo","0.08","0.08","0.00","0.00%","3.29%",""
"BOOT","Boot Barn Holdi...","205","amc","0.39","0.39","0.00","0.00%","0.00%",""
"CPLP","Capital Product...","444","bmo","0.09","0.09","0.00","0.00%","2.50%",""
"SLGN","Silgan Holdings...","3,163","amc","0.24","0.24","0.00","0.00%","2.89%",""
"UBSI","United Bankshar...","3,899","--","0.51","0.51","0.00","0.00%","--",""
"XRX","Xerox Corporati...","8,410","bmo","1.00","1.00","0.00","0.00%","-0.29%",""
"FLWS","1-800 Flowers.c...","616","bmo","0.94","0.93","-0.01","-1.06%","-6.74%",""
"WRB","W.r. Berkley Co...","8,272","amc","0.83","0.82","-0.01","-1.20%","-0.16%",""
"WNC","Wabash National...","1,320","amc","0.39","0.38","-0.01","-2.56%","14.45%",""
"UPS","United Parcel S...","102,479","bmo","1.68","1.63","-0.05","-2.98%","-6.75%",""
"PLT","Plantronics, In...","1,506","amc","0.82","0.79","-0.03","-3.66%","-4.86%",""
"LLY","Eli Lilly And C...","94,630","bmo","0.99","0.95","-0.04","-4.04%","3.12%",""
"APC","Anadarko Petrol...","27,148","amc","-0.48","-0.50","-0.02","-4.17%","-1.68%",""
"TWIN","Twin Disc, Inco...","254","bmo","-0.20","-0.21","-0.01","-5.00%","-4.31%",""
"EQR","Equity Resident...","24,709","amc","0.79","0.75","-0.04","-5.06%","-1.43%",""
"PCAR","Paccar Inc.","25,549","bmo","0.87","0.82","-0.05","-5.75%","-0.46%",""
"PFE","Pfizer, Inc.","213,986","bmo","0.50","0.47","-0.03","-6.00%","1.34%",""
"AFL","Aflac Incorpora...","33,270","amc","1.64","1.54","-0.10","-6.10%","-4.07%",""
"MSL","Midsouth Bancor...","211","bmo","0.13","0.12","-0.01","-7.69%","0.70%",""
"UA","Under Armour, I...","6,605","bmo","0.25","0.23","-0.02","-8.00%","-23.40%",""
"UAA","Under Armour, I...","7,166","bmo","0.25","0.23","-0.02","-8.00%","-25.74%",""
"BSAC","Banco Santander...","14,850","bmo","0.39","0.35","-0.04","-10.26%","-0.23%",""
"KTCC","Key Tronic Corp...","74","amc","0.16","0.14","-0.02","-12.50%","-5.79%",""
"HOG","Harley-davidson...","7,945","bmo","0.32","0.27","-0.05","-15.63%","-1.52%",""
"CIT","Cit Group Inc (...","6,663","bmo","0.79","0.59","-0.20","-25.32%","-1.55%",""
"SPG","Simon Property...","52,895","bmo","2.51","1.64","-0.87","-34.66%","3.39%",""
"BXP","Boston Properti...","19,811","amc","1.50","0.94","-0.56","-37.33%","-1.25%",""
"S","Sprint Corporat...","28,560","bmo","-0.08","-0.12","-0.04","-50.00%","1.32%",""
"CAJ","Canon, Inc.","39,063","--","0.55","0.26","-0.29","-52.73%","--",""
"ARAY","Accuray Incorpo...","352","amc","-0.07","-0.11","-0.04","-57.14%","-2.61%",""
"NSH","Nustar Gp Holdi...","827","bmo","0.39","0.14","-0.25","-64.10%","3.34%",""
"BDN","Brandywine Real...","3,164","amc","0.33","-0.08","-0.41","-124.24%","-0.62%",""
"FBR","Fibria Celulose...","9,373","--","0.10","-0.05","-0.15","-150.00%","--",""
"NS","Nustar Energy L...","3,474","bmo","0.54","-0.31","-0.85","-157.41%","1.00%",""
"NEU","Newmarket Corpo...","5,092","amc","3.87","--","--","--","0.23%",""
