"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CUDA","Barracuda Netwo...","1,209","amc","0.15","0.22","+0.07","+46.67%","1.05%",""
"SLP","Simulations Plu...","299","amc","0.07","0.08","+0.01","+14.29%","4.71%",""
"SHLM","A. Schulman, In...","1,109","bmo","0.47","0.49","+0.02","+4.26%","-0.73%",""
"VOXX","Voxx Internatio...","162","amc","0.24","0.24","0.00","0.00%","-15.09%",""
"WDFC","Wd-40 Company","1,605","amc","0.87","0.82","-0.05","-5.75%","-10.06%",""
"AYI","Acuity Brands I...","6,941","bmo","2.18","2.00","-0.18","-8.26%","-14.68%",""
"CMC","Commercial Meta...","2,374","bmo","0.17","0.10","-0.07","-41.18%","-7.92%",""
"GPN","Global Payments...","15,148","bmo","0.84","--","--","--","7.17%",""
