"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"HELE","Helen Of Troy L...","2,607","amc","1.37","1.65","+0.28","+20.44%","-9.58%",""
"ISCA","International S...","1,743","bmo","0.05","0.06","+0.01","+20.00%","4.64%",""
"STZ","Constellation B...","41,165","bmo","2.16","2.47","+0.31","+14.35%","4.01%",""
"COST","Costco Wholesal...","69,483","amc","2.02","2.08","+0.06","+2.97%","-5.97%",""
"YUMC","Yum China Holdi...","16,393","amc","0.55","0.52","-0.03","-5.45%","2.13%",""
"TMQ","Trilogy Metals...","114","amc","-0.02","-0.09","-0.07","-350.00%","1.98%",""
