"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"TRNC","Tronc, Inc.","487","amc","0.01","0.36","+0.35","+3,500.00%","1.89%",""
"NJR","Newjersey Resou...","3,743","bmo","0.01","0.20","+0.19","+1,900.00%","0.47%",""
"BREW","Craft Brew Alli...","357","amc","-0.01","0.09","+0.10","+1,000.00%","1.47%",""
"TGB","Taseko Mines Li...","504","amc","-0.01","0.04","+0.05","+500.00%","-0.65%",""
"HUBS","Hubspot, Inc.","3,081","amc","-0.02","0.07","+0.09","+450.00%","2.85%",""
"OZM","Och-ziff Capita...","1,705","bmo","0.02","0.10","+0.08","+400.00%","-4.50%",""
"DS","Drive Shack Inc...","248","bmo","-0.04","0.11","+0.15","+375.00%","-7.37%",""
"DATA","Tableau Softwar...","6,250","amc","-0.05","0.10","+0.15","+300.00%","9.03%",""
"IIN","Intricon Corpor...","80","amc","-0.04","0.08","+0.12","+300.00%","28.65%",""
"STRL","Sterling Constr...","390","bmo","0.07","0.23","+0.16","+228.57%","-9.43%",""
"CF","Cf Industries H...","8,630","amc","-0.08","0.10","+0.18","+225.00%","6.93%",""
"HIVE","Aerohive Networ...","214","amc","-0.01","0.01","+0.02","+200.00%","-32.32%",""
"TTWO","Take-two Intera...","11,001","amc","0.20","0.60","+0.40","+200.00%","12.22%",""
"BMRN","Biomarin Pharma...","16,395","amc","-0.22","0.15","+0.37","+168.18%","2.15%",""
"EXEL","Exelixis, Inc.","8,318","amc","0.03","0.08","+0.05","+166.67%","-3.45%",""
"ETR","Entergy Corpora...","15,187","bmo","1.20","3.11","+1.91","+159.17%","-0.80%",""
"SUMR","Summer Infant,...","32","bmo","0.02","0.05","+0.03","+150.00%","0.00%",""
"CSII","Cardiovascular...","894","amc","-0.05","0.02","+0.07","+140.00%","-2.05%",""
"KVHI","Kvh Industries,...","213","bmo","-0.14","0.03","+0.17","+121.43%","2.78%",""
"ESIO","Electro Scienti...","499","amc","0.18","0.38","+0.20","+111.11%","12.50%",""
"MZDAY","Mazda Motor Cor...","8,501","--","0.14","0.29","+0.15","+107.14%","--",""
"HLTH","Nobilis Health...","109","amc","0.01","0.02","+0.01","+100.00%","4.92%",""
"KGC","Kinross Gold Co...","5,350","amc","0.02","0.04","+0.02","+100.00%","4.85%",""
"RIG","Transocean Ltd....","4,221","amc","-0.11","0.00","+0.11","+100.00%","7.18%",""
"JCAP","Jernigan Capita...","301","amc","0.28","0.55","+0.27","+96.43%","0.42%",""
"AAC","Aac Holdings, I...","191","amc","0.14","0.26","+0.12","+85.71%","20.30%",""
"VNDA","Vanda Pharmaceu...","722","amc","-0.21","-0.03","+0.18","+85.71%","7.44%",""
"CG","The Carlyle Gro...","2,190","bmo","0.44","0.81","+0.37","+84.09%","5.56%",""
"RYN","Rayonier Inc.","3,837","amc","0.11","0.20","+0.09","+81.82%","1.53%",""
"NTN","Ntn Buzztime, I...","15","amc","-0.35","-0.07","+0.28","+80.00%","12.90%",""
"CCRN","Cross Country H...","486","amc","0.09","0.16","+0.07","+77.78%","8.06%",""
"BG","Bunge Limited","10,012","bmo","0.10","0.17","+0.07","+70.00%","-0.74%",""
