"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"LNDC","Landec Corporat...","356","--","0.06","0.08","+0.02","+33.33%","--",""
"NKE","Nike, Inc.","85,446","amc","0.48","0.57","+0.09","+18.75%","-1.92%",""
"CTAS","Cintas Corporat...","16,057","amc","1.29","1.48","+0.19","+14.73%","5.81%",""
"MU","Micron Technolo...","46,000","amc","1.84","2.02","+0.18","+9.78%","8.51%",""
"INFO","Ihs Markit Ltd....","17,456","bmo","0.53","0.57","+0.04","+7.55%","-8.64%",""
"CCL","Carnival Corpor...","36,507","--","2.20","2.29","+0.09","+4.09%","--",""
"DRI","Darden Restaura...","10,087","bmo","0.98","0.99","+0.01","+1.02%","-6.53%",""
"FDS","Factset Researc...","7,040","bmo","1.89","1.90","+0.01","+0.53%","5.35%",""
