"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"MON","Monsanto Compan...","53,782","bmo","-0.38","0.20","+0.58","+152.63%","0.05%",""
"LW","Lamb Weston Hol...","7,411","bmo","0.50","0.57","+0.07","+14.00%","2.63%",""
"AYI","Acuity Brands I...","6,941","bmo","2.40","2.55","+0.15","+6.25%","5.11%",""
"PEP","Pepsico, Inc.","161,513","bmo","1.42","1.48","+0.06","+4.23%","0.19%",""
"RPM","Rpm Internation...","6,908","bmo","0.84","0.86","+0.02","+2.38%","-2.61%",""
"RECN","Resources Conne...","449","amc","0.12","0.12","0.00","0.00%","5.61%",""
"CAFD","8point3 Energy...","1,230","amc","0.65","0.27","-0.38","-58.46%","-0.40%",""
