"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"JPM","J P Morgan Chas...","344,295","bmo","1.42","1.71","+0.29","+20.42%","0.53%",""
"PNC","Pnc Financial S...","64,707","bmo","1.86","1.97","+0.11","+5.91%","0.73%",""
"BAC","Bank Of America...","276,832","bmo","0.38","0.40","+0.02","+5.26%","0.39%",""
"INFY","Infosys Limited...","33,417","amc","0.23","0.24","+0.01","+4.35%","-4.92%",""
"WFC","Wells Fargo & C...","267,060","bmo","1.00","1.03","+0.03","+3.00%","1.49%",""
"BLK","Blackrock, Inc....","76,941","bmo","5.02","5.14","+0.12","+2.39%","0.28%",""
"FRC","First Republic...","15,249","bmo","1.02","1.03","+0.01","+0.98%","1.20%",""
"FHN","First Horizon N...","4,514","bmo","0.25","0.23","-0.02","-8.00%","-1.87%",""
"CYDY","Cytodyn Inc.","98","--","-0.04","-0.05","-0.01","-25.00%","--",""
"STAF","Staffing 360 So...","12","bmo","-0.17","--","--","--","-7.13%",""
