"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"SGY","Stone Energy Co...","566","amc","-0.09","0.33","+0.42","+466.67%","18.58%",""
"CUTR","Cutera, Inc.","560","amc","0.03","0.13","+0.10","+333.33%","21.01%",""
"SREV","Servicesource I...","321","amc","-0.01","0.02","+0.03","+300.00%","0.00%",""
"TCMD","Tactile Systems...","532","amc","0.01","0.04","+0.03","+300.00%","12.30%",""
"APPF","Appfolio, Inc.","1,709","amc","0.03","0.11","+0.08","+266.67%","7.23%",""
"MTW","Manitowoc Compa...","1,271","amc","-0.03","0.05","+0.08","+266.67%","5.26%",""
"HZNP","Horizon Pharma...","2,251","bmo","0.12","0.41","+0.29","+241.67%","4.72%",""
"RDCM","Radcom Ltd.","237","bmo","0.01","0.03","+0.02","+200.00%","1.97%",""
"LMNX","Luminex Corpora...","895","amc","0.09","0.26","+0.17","+188.89%","2.27%",""
"ONDK","On Deck Capital...","371","bmo","-0.03","0.02","+0.05","+166.67%","18.48%",""
"PFSW","Pfsweb, Inc.","156","amc","-0.05","0.03","+0.08","+160.00%","5.30%",""
"AIRG","Airgain, Inc.","87","amc","0.04","0.10","+0.06","+150.00%","-22.56%",""
"REN","Resolute Energy...","665","amc","0.22","0.47","+0.25","+113.64%","-4.82%",""
"LMOS","Lumos Networks...","430","bmo","0.01","0.02","+0.01","+100.00%","-0.11%",""
"APPS","Digital Turbine...","94","amc","-0.06","-0.01","+0.05","+83.33%","1.86%",""
"KRNT","Kornit Digital...","509","amc","0.05","0.09","+0.04","+80.00%","-0.80%",""
"BSM","Black Stone Min...","1,736","amc","0.18","0.32","+0.14","+77.78%","-0.42%",""
"AFH","Atlas Financial...","228","amc","0.42","0.72","+0.30","+71.43%","6.15%",""
"EXTN","Exterran Corpor...","1,127","amc","-0.53","-0.16","+0.37","+69.81%","3.62%",""
"LGND","Ligand Pharmace...","2,993","amc","0.40","0.67","+0.27","+67.50%","5.86%",""
"DPLO","Diplomat Pharma...","1,373","amc","0.15","0.25","+0.10","+66.67%","8.78%",""
"KOS","Kosmos Energy L...","2,962","bmo","-0.06","-0.02","+0.04","+66.67%","4.58%",""
"BEL","Belmond Ltd.","1,402","amc","0.12","0.19","+0.07","+58.33%","-0.38%",""
"TWLO","Twilio Inc.","2,918","amc","-0.11","-0.05","+0.06","+54.55%","9.99%",""
"CDOR","Condor Hospital...","118","amc","0.24","0.37","+0.13","+54.17%","-1.23%",""
"IIVI","Ii-vi Incorpora...","2,554","bmo","0.33","0.50","+0.17","+51.52%","7.92%",""
"ATAX","America First M...","357","bmo","0.04","0.06","+0.02","+50.00%","0.83%",""
"SALM","Salem Media Gro...","168","amc","0.07","0.10","+0.03","+42.86%","-2.14%",""
"QTNA","Quantenna Comms...","573","amc","0.05","0.07","+0.02","+40.00%","-7.02%",""
"XNCR","Xencor, Inc.","1,087","amc","-0.25","-0.15","+0.10","+40.00%","4.82%",""
"BSFT","Broadsoft, Inc....","1,664","bmo","0.29","0.40","+0.11","+37.93%","5.96%",""
"SEMG","Semgroup Corpor...","2,132","bmo","0.11","0.15","+0.04","+36.36%","-0.98%",""
"CRK","Comstock Resour...","72","bmo","-1.67","-1.07","+0.60","+35.93%","-7.14%",""
"CTSO","Cytosorbents Co...","170","amc","-0.06","-0.04","+0.02","+33.33%","4.21%",""
"SNHY","Sun Hydraulics...","1,471","amc","0.39","0.52","+0.13","+33.33%","9.58%",""
"SWX","Southwest Gas C...","3,768","amc","0.28","0.37","+0.09","+32.14%","1.99%",""
"PLOW","Douglas Dynamic...","901","amc","0.49","0.64","+0.15","+30.61%","12.60%",""
"DCP","Dcp Midstream P...","4,951","bmo","0.14","0.18","+0.04","+28.57%","-3.26%",""
"INSG","Inseego Corp.","84","amc","-0.11","-0.08","+0.03","+27.27%","3.60%",""
"PRTO","Proteon Therape...","41","bmo","-0.45","-0.33","+0.12","+26.67%","8.00%",""
"RPD","Rapid7, Inc.","761","amc","-0.19","-0.14","+0.05","+26.32%","0.07%",""
"RTTR","Ritter Pharmace...","17","--","-0.19","-0.14","+0.05","+26.32%","--",""
"AGII","Argo Group Inte...","1,893","amc","1.05","1.31","+0.26","+24.76%","-1.41%",""
"TTEC","Teletech Holdin...","1,951","amc","0.31","0.38","+0.07","+22.58%","-2.08%",""
"MTSC","Mts Systems Cor...","906","amc","0.46","0.56","+0.10","+21.74%","4.89%",""
"LQ","La Quinta Holdi...","2,134","amc","0.14","0.17","+0.03","+21.43%","1.31%",""
"BWXT","Bwx Technologie...","5,903","amc","0.48","0.56","+0.08","+16.67%","1.66%",""
"MXWL","Maxwell Technol...","183","amc","-0.18","-0.15","+0.03","+16.67%","3.69%",""
"CHRS","Coherus Bioscie...","704","amc","-1.29","-1.08","+0.21","+16.28%","8.87%",""
"SYKE","Sykes Enterpris...","1,242","amc","0.32","0.37","+0.05","+15.63%","-19.20%",""
"RUN","Sunrun Inc.","589","amc","0.20","0.23","+0.03","+15.00%","-4.99%",""
"RSPP","Rsp Permian, In...","5,389","amc","0.15","0.17","+0.02","+13.33%","3.15%",""
"BAH","Booz Allen Hami...","5,592","bmo","0.47","0.53","+0.06","+12.77%","-3.52%",""
"OLP","One Liberty Pro...","470","--","0.48","0.54","+0.06","+12.50%","--",""
"CMRX","Chimerix, Inc.","243","bmo","-0.41","-0.36","+0.05","+12.20%","4.89%",""
"KIN","Kindred Bioscie...","227","amc","-0.33","-0.29","+0.04","+12.12%","-2.04%",""
"EGLE","Eagle Bulk Ship...","345","amc","-0.09","-0.08","+0.01","+11.11%","-1.31%",""
"MAR","Marriott Intern...","42,843","amc","1.02","1.13","+0.11","+10.78%","-2.09%",""
"ATSG","Air Transport S...","1,428","amc","0.19","0.21","+0.02","+10.53%","-5.89%",""
"ENTA","Enanta Pharmace...","912","amc","-0.49","-0.44","+0.05","+10.20%","1.90%",""
"IPAR","Inter Parfums,...","1,311","amc","0.20","0.22","+0.02","+10.00%","1.56%",""
"NK","Nantkwest, Inc....","365","--","-0.32","-0.29","+0.03","+9.38%","--",""
"GBDC","Golub Capital B...","1,133","amc","0.32","0.35","+0.03","+9.37%","-0.10%",""
"INWK","Innerworkings,...","616","amc","0.11","0.12","+0.01","+9.09%","-3.07%",""
"PARR","Par Pacific Hol...","941","amc","0.22","0.24","+0.02","+9.09%","-3.97%",""
"GBT","Global Blood Th...","1,437","--","-0.60","-0.55","+0.05","+8.33%","--",""
"TWOU","2u, Inc.","3,105","amc","-0.12","-0.11","+0.01","+8.33%","-1.83%",""
"FOLD","Amicus Therapeu...","2,409","bmo","-0.37","-0.34","+0.03","+8.11%","5.06%",""
"GNK","Genco Shipping...","427","amc","-0.39","-0.36","+0.03","+7.69%","-4.39%",""
"TWO","Two Harbors Inv...","3,535","amc","0.26","0.28","+0.02","+7.69%","1.02%",""
"CBS","Cbs Corporation...","22,758","amc","0.97","1.04","+0.07","+7.22%","1.83%",""
"KURA","Kura Oncology,...","390","amc","-0.43","-0.40","+0.03","+6.98%","-13.04%",""
"PRAH","Pra Health Scie...","5,153","amc","0.74","0.79","+0.05","+6.76%","6.61%",""
"HAE","Haemonetics Cor...","2,365","bmo","0.31","0.33","+0.02","+6.45%","2.91%",""
"IPHI","Inphi Corporati...","1,545","amc","0.33","0.35","+0.02","+6.06%","3.10%",""
"LPCN","Lipocine Inc.","79","--","-0.33","-0.31","+0.02","+6.06%","--",""
"NBRV","Nabriva Therape...","244","--","-0.57","-0.54","+0.03","+5.26%","--",""
"EVHC","Envision Health...","5,048","amc","0.82","0.85","+0.03","+3.66%","0.91%",""
"TPC","Tutor Perini Co...","1,384","amc","0.57","0.59","+0.02","+3.51%","4.78%",""
"BAP","Credicorp Ltd.","16,462","amc","3.44","3.54","+0.10","+2.91%","4.00%",""
"FNHC","Federated Natio...","206","amc","0.36","0.37","+0.01","+2.78%","7.91%",""
"ADUS","Addus Homecare...","399","amc","0.37","0.38","+0.01","+2.70%","0.87%",""
"PRA","Proassurance Co...","2,972","amc","0.39","0.40","+0.01","+2.56%","-4.57%",""
"OTTR","Otter Tail Corp...","1,790","amc","0.41","0.42","+0.01","+2.44%","3.58%",""
"PKOH","Park-ohio Holdi...","569","amc","0.85","0.87","+0.02","+2.35%","-0.25%",""
