"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"HPE","Hewlett Packard...","23,660","amc","0.25","0.31","+0.06","+24.00%","-1.92%",""
"CASY","Caseys General...","4,298","amc","1.46","1.46","0.00","0.00%","1.58%",""
"HQY","Healthequity, I...","3,014","amc","0.14","0.27","+0.13","+92.86%","7.79%",""
"PLAY","Dave & Buster's...","1,980","amc","0.55","0.71","+0.16","+29.09%","-11.58%",""
"COUP","Coupa Software","1,902","amc","-0.17","-0.10","+0.07","+41.18%","4.26%",""
"HOME","At Home Group I...","1,314","amc","0.17","0.18","+0.01","+5.88%","-10.11%",""
"DLTH","Duluth Holdings...","561","amc","0.10","0.13","+0.03","+30.00%","1.57%",""
