"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"JPM","J P Morgan Chas...","344,295","bmo","1.67","1.76","+0.09","+5.39%","-0.82%",""
"C","Citigroup Inc.","204,523","bmo","1.32","1.42","+0.10","+7.58%","-3.43%",""
"DPZ","Domino's Pizza...","8,449","bmo","1.22","1.27","+0.05","+4.10%","-3.92%",""
"CBSH","Commerce Bancsh...","5,793","--","0.75","0.71","-0.04","-5.33%","--",""
"LNN","Lindsay Corpora...","953","bmo","0.65","0.59","-0.06","-9.23%","-3.57%",""
"EXFO","Exfo Inc","216","amc","0.06","0.12","+0.06","+100.00%","2.47%",""
