"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"WTI","W&t Offshore, I...","413","amc","0.01","0.22","+0.21","+2,100.00%","7.29%",""
"VECO","Veeco Instrumen...","1,053","amc","-0.01","0.15","+0.16","+1,600.00%","-24.13%",""
"YELP","Yelp Inc.","3,534","amc","-0.01","0.09","+0.10","+1,000.00%","27.67%",""
"NRG","Nrg Energy, Inc...","8,228","bmo","-0.05","0.36","+0.41","+820.00%","-2.00%",""
"MX","Magnachip Semic...","362","amc","0.04","0.21","+0.17","+425.00%","14.75%",""
"MNTX","Manitex Interna...","137","amc","-0.02","0.06","+0.08","+400.00%","9.62%",""
"JOE","St. Joe Company...","1,314","amc","0.04","0.15","+0.11","+275.00%","1.40%",""
"TOO","Teekay Offshore...","409","bmo","-0.05","0.07","+0.12","+240.00%","-3.21%",""
"TRGP","Targa Resources...","9,784","bmo","-0.15","0.14","+0.29","+193.33%","0.02%",""
"SMLP","Summit Midstrea...","1,550","amc","-0.13","0.12","+0.25","+192.31%","-2.03%",""
"PDLI","Pdl Biopharma,...","532","amc","0.09","0.26","+0.17","+188.89%","10.14%",""
"JONE","Jones Energy, I...","123","amc","-0.15","0.12","+0.27","+180.00%","3.70%",""
"GTT","Gtt Communicati...","1,341","bmo","-0.03","0.02","+0.05","+166.67%","3.51%",""
"NBL","Noble Energy In...","13,497","bmo","-0.13","0.05","+0.18","+138.46%","-8.00%",""
"IDSY","I.d. Systems, I...","121","amc","-0.03","0.01","+0.04","+133.33%","4.33%",""
"INSY","Insys Therapeut...","547","bmo","-0.09","0.03","+0.12","+133.33%","-8.91%",""
"RLH","Red Lion Hotels...","202","amc","-0.03","0.01","+0.04","+133.33%","4.51%",""
"VRNS","Varonis Systems...","1,206","amc","-0.09","0.02","+0.11","+122.22%","2.66%",""
"ABY","Atlantica Yield...","2,147","amc","0.11","0.24","+0.13","+118.18%","-0.54%",""
"PGRE","Paramount Group...","3,964","amc","0.21","0.44","+0.23","+109.52%","1.73%",""
"AGI","Alamos Gold Inc...","2,141","bmo","0.02","0.04","+0.02","+100.00%","9.86%",""
