"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"DXCM","Dexcom, Inc.","3,894","amc","-0.23","-0.16","+0.07","+30.43%","6.67%",""
"MOD","Modine Manufact...","1,017","amc","0.30","0.39","+0.09","+30.00%","3.40%",""
"PAYC","Paycom Software...","4,699","amc","0.20","0.26","+0.06","+30.00%","-4.33%",""
"BBG","Bill Barrett Co...","333","amc","-0.24","-0.17","+0.07","+29.17%","0.91%",""
"HY","Hyster-yale Mat...","1,305","amc","0.77","0.99","+0.22","+28.57%","-8.99%",""
"LXRX","Lexicon Pharmac...","1,186","bmo","-0.45","-0.33","+0.12","+26.67%","-1.84%",""
"SP","Sp Plus Corpora...","889","amc","0.42","0.53","+0.11","+26.19%","4.88%",""
"HZN","Horizon Global...","420","bmo","0.67","0.84","+0.17","+25.37%","23.60%",""
"HMC","Honda Motor Com...","55,086","bmo","0.83","1.04","+0.21","+25.30%","2.21%",""
"CORT","Corcept Therape...","2,074","amc","0.08","0.10","+0.02","+25.00%","8.78%",""
"ENBL","Enable Midstrea...","6,782","bmo","0.16","0.20","+0.04","+25.00%","3.05%",""
"SPWR","Sunpower Corpor...","944","amc","-0.46","-0.35","+0.11","+23.91%","-19.32%",""
"AFG","American Financ...","9,167","amc","1.30","1.61","+0.31","+23.85%","2.91%",""
"LOPE","Grand Canyon Ed...","4,230","amc","0.68","0.83","+0.15","+22.06%","9.35%",""
"TEX","Terex Corporati...","4,115","amc","0.42","0.51","+0.09","+21.43%","-3.32%",""
"ILMN","Illumina, Inc.","30,146","amc","0.68","0.82","+0.14","+20.59%","14.83%",""
"NSP","Insperity, Inc....","1,939","bmo","0.68","0.82","+0.14","+20.59%","17.88%",""
"RDN","Radian Group In...","4,282","bmo","0.40","0.48","+0.08","+20.00%","2.30%",""
"ZAGG","Zagg Inc","443","amc","0.10","0.12","+0.02","+20.00%","2.31%",""
"ASH","Ashland Global...","4,156","amc","0.70","0.83","+0.13","+18.57%","-2.18%",""
"VSM","Versum Material...","4,294","bmo","0.44","0.52","+0.08","+18.18%","3.49%",""
"TRI","Thomson Reuters...","34,349","bmo","0.51","0.60","+0.09","+17.65%","4.51%",""
"IPGP","Ipg Photonics C...","10,818","bmo","1.63","1.91","+0.28","+17.18%","9.01%",""
"KMDA","Kamada Ltd.","174","bmo","0.12","0.14","+0.02","+16.67%","-4.21%",""
"SNE","Sony Corp Ord","46,673","bmo","0.48","0.56","+0.08","+16.67%","-0.88%",""
"MOS","Mosaic Company...","7,393","bmo","0.25","0.29","+0.04","+16.00%","-5.18%",""
"ACCO","Acco Brands Cor...","1,399","bmo","0.27","0.31","+0.04","+14.81%","-2.58%",""
"EYES","Second Sight Me...","67","amc","-0.14","-0.12","+0.02","+14.29%","1.65%",""
"KAI","Kadant Inc","1,089","amc","0.91","1.04","+0.13","+14.29%","14.45%",""
"LDL","Lydall, Inc.","994","amc","0.70","0.80","+0.10","+14.29%","-3.35%",""
"MYE","Myers Industrie...","669","bmo","0.15","0.17","+0.02","+13.33%","3.24%",""
"SHOO","Steven Madden,...","2,446","bmo","0.45","0.51","+0.06","+13.33%","1.95%",""
"REXR","Rexford Industr...","2,151","amc","0.23","0.26","+0.03","+13.04%","-0.45%",""
"ALLT","Allot Communica...","175","bmo","-0.08","-0.07","+0.01","+12.50%","-0.20%",""
"QUMU","Qumu Corporatio...","28","amc","-0.32","-0.28","+0.04","+12.50%","5.04%",""
"TX","Ternium S.a.","6,173","amc","1.13","1.27","+0.14","+12.39%","-0.82%",""
"RM","Regional Manage...","286","amc","0.49","0.55","+0.06","+12.24%","-1.12%",""
"COTV","Cotiviti Holdin...","3,246","amc","0.34","0.38","+0.04","+11.76%","-13.52%",""
"IDXX","Idexx Laborator...","13,964","bmo","0.85","0.95","+0.10","+11.76%","-7.08%",""
"MRCY","Mercury Systems...","2,458","amc","0.29","0.32","+0.03","+10.34%","-1.29%",""
"CIGI","Colliers Intern...","2,121","bmo","0.69","0.76","+0.07","+10.14%","2.79%",""
"ADM","Archer-daniels-...","24,565","bmo","0.52","0.57","+0.05","+9.62%","2.66%",""
"IPHS","Innophos Holdin...","959","bmo","0.52","0.57","+0.05","+9.62%","15.44%",""
"GWR","Genesee & Wyomi...","4,426","bmo","0.73","0.80","+0.07","+9.59%","0.52%",""
"IOVA","Lion Biotechnol...","522","amc","-0.35","-0.32","+0.03","+8.57%","-2.63%",""
"TGNA","Tegna Inc.","2,706","bmo","0.27","0.29","+0.02","+7.41%","-1.42%",""
"WAGE","Wageworks, Inc....","2,533","amc","0.43","0.46","+0.03","+6.98%","-8.71%",""
"PSX","Phillips 66","46,358","bmo","1.02","1.09","+0.07","+6.86%","2.24%",""
"LPNT","Lifepoint Healt...","2,255","bmo","0.90","0.96","+0.06","+6.67%","-1.52%",""
"VRSK","Verisk Analytic...","13,874","amc","0.77","0.82","+0.05","+6.49%","-3.82%",""
"AAPL","Apple Inc.","828,864","amc","1.57","1.67","+0.10","+6.37%","4.73%",""
"QSII","Quality Systems...","1,018","bmo","0.16","0.17","+0.01","+6.25%","2.87%",""
"WDR","Waddell & Reed...","1,669","bmo","0.37","0.39","+0.02","+5.41%","0.92%",""
"AFMD","Affimed N.v.","92","bmo","-0.21","-0.20","+0.01","+4.76%","0.00%",""
"EVTC","Evertec, Inc.","1,086","amc","0.42","0.44","+0.02","+4.76%","4.71%",""
"KTWO","K2m Group Holdi...","843","amc","-0.22","-0.21","+0.01","+4.55%","-9.64%",""
"VNOM","Viper Energy Pa...","2,180","amc","0.22","0.23","+0.01","+4.55%","2.86%",""
"SMG","Scotts Miracle-...","5,791","bmo","2.53","2.63","+0.10","+3.95%","-2.33%",""
"CYH","Community Healt...","738","amc","-0.26","-0.25","+0.01","+3.85%","-4.22%",""
"XRX","Xerox Corporati...","8,324","bmo","0.84","0.87","+0.03","+3.57%","5.84%",""
"XYL","Xylem Inc.","11,354","bmo","0.57","0.59","+0.02","+3.51%","4.53%",""
"MDC","M.d.c. Holdings...","1,847","bmo","0.62","0.64","+0.02","+3.23%","5.28%",""
"PZZA","Papa John's Int...","2,565","amc","0.63","0.65","+0.02","+3.17%","9.64%",""
"AIZ","Assurant, Inc.","5,166","amc","1.58","1.63","+0.05","+3.16%","-2.28%",""
"APD","Air Products An...","33,450","bmo","1.60","1.65","+0.05","+3.12%","4.76%",""
"PFE","Pfizer, Inc.","215,294","bmo","0.65","0.67","+0.02","+3.08%","-0.24%",""
"DVN","Devon Energy Co...","18,777","amc","0.33","0.34","+0.01","+3.03%","1.27%",""
"SABR","Sabre Corporati...","5,069","bmo","0.34","0.35","+0.01","+2.94%","-10.48%",""
"BFAM","Bright Horizons...","5,033","amc","0.72","0.74","+0.02","+2.78%","-1.70%",""
"RMD","Resmed Inc.","11,159","amc","0.75","0.77","+0.02","+2.67%","-6.41%",""
"CME","Cme Group Inc.","46,292","bmo","1.20","1.23","+0.03","+2.50%","0.95%",""
"RCL","Royal Caribbean...","27,366","bmo","1.67","1.71","+0.04","+2.40%","3.36%",""
"DVA","Davita Healthca...","10,801","amc","0.90","0.92","+0.02","+2.22%","-8.84%",""
"EDGE","Edge Therapeuti...","317","bmo","-0.45","-0.44","+0.01","+2.22%","-0.84%",""
"ULTI","The Ultimate So...","5,764","amc","0.91","0.93","+0.02","+2.20%","-11.89%",""
"FMC","Fmc Corporation...","12,664","amc","0.47","0.48","+0.01","+2.13%","8.40%",""
"CDK","Cdk Global, Inc...","9,045","bmo","0.54","0.55","+0.01","+1.85%","-2.68%",""
"FTR","Frontier Commun...","900","amc","-1.12","-1.10","+0.02","+1.79%","7.30%",""
"INGR","Ingredion Incor...","8,867","bmo","1.86","1.89","+0.03","+1.61%","-0.92%",""
"AERI","Aerie Pharmaceu...","2,348","amc","-0.64","-0.63","+0.01","+1.56%","2.27%",""
"ECL","Ecolab Inc.","38,366","bmo","1.12","1.13","+0.01","+0.89%","-0.18%",""
"ARII","American Railca...","751","bmo","0.62","0.62","0.00","0.00%","1.20%",""
"BWEN","Broadwind Energ...","45","bmo","-0.05","-0.05","0.00","0.00%","-3.85%",""
"EARN","Ellington Resid...","194","amc","0.47","0.47","0.00","0.00%","-1.21%",""
"EMR","Emerson Electri...","41,908","bmo","0.68","0.68","0.00","0.00%","0.59%",""
"GAIN","Gladstone Inves...","322","amc","0.17","0.17","0.00","0.00%","-0.42%",""
"HBI","Hanesbrands Inc...","8,430","amc","0.53","0.53","0.00","0.00%","2.65%",""
"HRS","Harris Corporat...","16,210","bmo","1.49","1.49","0.00","0.00%","1.21%",""
"MN","Manning & Napie...","57","amc","0.12","0.12","0.00","0.00%","3.85%",""
"NMIH","Nmi Holdings In...","829","amc","0.10","0.10","0.00","0.00%","0.00%",""
"OCRX","Ocera Therapeut...","30","--","-0.23","-0.23","0.00","0.00%","--",""
"OMI","Owens & Minor,...","1,733","amc","0.43","0.43","0.00","0.00%","-5.57%",""
"OXFD","Oxford Immunote...","416","bmo","-0.32","-0.32","0.00","0.00%","14.94%",""
"QUOT","Quotient Techno...","1,552","amc","0.05","0.05","0.00","0.00%","13.36%",""
"SQNS","Sequans Communi...","149","bmo","-0.06","-0.06","0.00","0.00%","-18.21%",""
"SUNS","Solar Senior Ca...","284","amc","0.35","0.35","0.00","0.00%","-1.60%",""
"ZIXI","Zix Corporation...","281","amc","0.06","0.06","0.00","0.00%","0.18%",""
"ETN","Eaton Corporati...","34,726","bmo","1.16","1.15","-0.01","-0.86%","-5.10%",""
"DORM","Dorman Products...","2,433","bmo","0.84","0.83","-0.01","-1.19%","-3.84%",""
"CMI","Cummins Inc.","29,287","bmo","2.58","2.53","-0.05","-1.94%","-6.21%",""
"ARI","Apollo Commerci...","1,942","amc","0.47","0.46","-0.01","-2.13%","-0.11%",""
"NFX","Newfield Explor...","6,023","amc","0.44","0.43","-0.01","-2.27%","-5.39%",""
"VVV","Valvoline Inc.","4,873","amc","0.35","0.34","-0.01","-2.86%","0.35%",""
"COHR","Coherent, Inc.","6,278","amc","3.46","3.36","-0.10","-2.89%","-21.62%",""
"MTSI","Macom Technolog...","2,422","amc","0.69","0.67","-0.02","-2.90%","-25.48%",""
"STAY","Extended Stay A...","3,980","bmo","0.32","0.31","-0.01","-3.13%","-0.05%",""
"NANO","Nanometrics Inc...","708","amc","0.31","0.30","-0.01","-3.23%","-6.25%",""
"FISV","Fiserv, Inc.","26,651","amc","1.23","1.19","-0.04","-3.25%","-4.10%",""
"ACRX","Acelrx Pharmace...","79","amc","-0.28","-0.29","-0.01","-3.57%","-13.24%",""
"CSU","Capital Senior...","489","amc","-0.26","-0.27","-0.01","-3.85%","-1.74%",""
"KFRC","Kforce, Inc.","519","amc","0.46","0.44","-0.02","-4.35%","-3.41%",""
"CBT","Cabot Corporati...","3,636","amc","0.85","0.81","-0.04","-4.71%","-3.88%",""
"LPX","Louisiana-pacif...","4,121","bmo","0.61","0.58","-0.03","-4.92%","-3.50%",""
"MLM","Martin Marietta...","12,787","bmo","2.38","2.25","-0.13","-5.46%","-6.39%",""
"NXRT","Nexpoint Reside...","517","bmo","0.36","0.34","-0.02","-5.56%","-1.79%",""
"YRD","Yirendai Ltd.","3,096","bmo","0.70","0.66","-0.04","-5.71%","-12.21%",""
"DENN","Denny's Corpora...","873","amc","0.15","0.14","-0.01","-6.67%","5.67%",""
"RIGL","Rigel Pharmaceu...","612","amc","-0.15","-0.16","-0.01","-6.67%","0.43%",""
"ZYNE","Zynerba Pharmac...","124","--","-0.60","-0.64","-0.04","-6.67%","--",""
"IFNNY","Infineon Techno...","30,041","--","0.28","0.26","-0.02","-7.14%","--",""
"NTLA","Intellia Therap...","995","--","-0.42","-0.45","-0.03","-7.14%","--",""
"JRVR","James River Gro...","1,250","amc","0.53","0.49","-0.04","-7.55%","-1.09%",""
"PBI","Pitney Bowes In...","2,541","bmo","0.36","0.33","-0.03","-8.33%","-15.44%",""
"FMS","Fresenius Medic...","29,616","bmo","0.53","0.48","-0.05","-9.43%","0.53%",""
"SLRC","Solar Capital L...","906","amc","0.42","0.38","-0.04","-9.52%","0.09%",""
"WIRE","Encore Wire Cor...","956","amc","0.58","0.52","-0.06","-10.34%","-5.85%",""
"HRZN","Horizon Technol...","130","amc","0.27","0.24","-0.03","-11.11%","0.18%",""
"MDU","Mdu Resources G...","5,295","amc","0.25","0.22","-0.03","-12.00%","-3.34%",""
"ENLC","Enlink Midstrea...","3,007","amc","0.08","0.07","-0.01","-12.50%","1.43%",""
"MSEX","Middlesex Water...","742","--","0.38","0.33","-0.05","-13.16%","--",""
"RRC","Range Resources...","4,826","amc","0.07","0.06","-0.01","-14.29%","-11.82%",""
"FMI","Foundation Medi...","1,526","amc","-1.08","-1.24","-0.16","-14.81%","-4.72%",""
"PSXP","Phillips 66 Par...","5,308","bmo","0.72","0.61","-0.11","-15.28%","-1.51%",""
"MTCH","Match Group, In...","6,838","amc","0.19","0.16","-0.03","-15.79%","4.22%",""
"DLA","Delta Apparel,...","157","amc","0.68","0.57","-0.11","-16.18%","-1.24%",""
"PES","Pioneer Energy...","159","bmo","-0.18","-0.21","-0.03","-16.67%","-4.55%",""
"AEGN","Aegion Corp","749","amc","0.42","0.34","-0.08","-19.05%","-18.77%",""
"GNMK","Genmark Diagnos...","443","amc","-0.31","-0.37","-0.06","-19.35%","1.54%",""
"AJX","Great Ajax Corp...","265","amc","0.45","0.36","-0.09","-20.00%","0.50%",""
"EOG","Eog Resources,...","56,272","amc","0.10","0.08","-0.02","-20.00%","-2.27%",""
"INCY","Incyte Corporat...","24,360","bmo","-0.05","-0.06","-0.01","-20.00%","-3.40%",""
"VOYA","Voya Financial,...","7,098","amc","0.85","0.67","-0.18","-21.18%","2.24%",""
"HEP","Holly Energy Pa...","2,183","bmo","0.48","0.36","-0.12","-25.00%","-0.50%",""
"OKE","Oneok, Inc.","21,440","amc","0.45","0.33","-0.12","-26.67%","-2.41%",""
"PBA","Pembina Pipelin...","13,629","amc","0.27","0.19","-0.08","-29.63%","-1.05%",""
"GLUU","Glu Mobile Inc....","627","amc","-0.10","-0.13","-0.03","-30.00%","5.47%",""
"BGFV","Big 5 Sporting...","152","amc","0.19","0.13","-0.06","-31.58%","-7.76%",""
"RGLS","Regulus Therape...","137","amc","-0.31","-0.41","-0.10","-32.26%","-0.98%",""
"EXR","Extra Space Sto...","10,356","amc","1.05","0.70","-0.35","-33.33%","-0.04%",""
"GHDX","Genomic Health,...","1,137","amc","-0.06","-0.08","-0.02","-33.33%","-5.46%",""
"NRCIA","National Resear...","773","amc","0.20","0.13","-0.07","-35.00%","-0.17%",""
"SLCT","Select Bancorp,...","135","--","0.18","0.11","-0.07","-38.89%","--",""
"GVA","Granite Constru...","2,326","bmo","0.60","0.35","-0.25","-41.67%","11.12%",""
"RUBI","The Rubicon Pro...","173","amc","-0.07","-0.10","-0.03","-42.86%","-11.80%",""
"SHO","Sunstone Hotel...","3,770","amc","0.37","0.21","-0.16","-43.24%","-0.98%",""
"NRCIB","National Resear...","1,312","amc","0.23","0.13","-0.10","-43.48%","1.39%",""
"BXP","Boston Properti...","19,762","amc","1.62","0.87","-0.75","-46.30%","-0.03%",""
"SKT","Tanger Factory...","2,400","amc","0.58","0.31","-0.27","-46.55%","-3.99%",""
"NNN","National Retail...","6,374","bmo","0.62","0.33","-0.29","-46.77%","3.05%",""
"SPG","Simon Property...","53,461","bmo","2.45","1.23","-1.22","-49.80%","3.84%",""
"FTK","Flotek Industri...","277","amc","0.04","0.02","-0.02","-50.00%","-33.98%",""
"IGT","International G...","4,731","bmo","0.32","0.15","-0.17","-53.13%","12.71%",""
"EIGI","Endurance Inter...","1,138","bmo","-0.18","-0.29","-0.11","-61.11%","-11.35%",""
"AHH","Armada Hoffler...","637","bmo","0.25","0.08","-0.17","-68.00%","1.21%",""
"GOV","Government Prop...","1,870","bmo","0.59","0.17","-0.42","-71.19%","2.26%",""
"DEI","Douglas Emmett,...","6,681","amc","0.48","0.13","-0.35","-72.92%","-1.15%",""
"AAT","American Assets...","1,913","amc","0.50","0.12","-0.38","-76.00%","-1.22%",""
"GNRT","Gener8 Maritime...","422","bmo","-0.06","-0.11","-0.05","-83.33%","-4.11%",""
"RPT","Ramco-gershenso...","1,071","amc","0.34","0.05","-0.29","-85.29%","-2.80%",""
"HCP","Hcp, Inc.","12,418","bmo","0.47","0.04","-0.43","-91.49%","-4.42%",""
"GPT","Gramercy Proper...","4,918","amc","0.51","0.04","-0.47","-92.16%","-2.44%",""
"STAG","Stag Industrial...","2,581","amc","0.41","-0.01","-0.42","-102.44%","-0.80%",""
"FSP","Franklin Street...","1,113","amc","0.26","-0.16","-0.42","-161.54%","-3.05%",""
"GLT","Glatfelter","832","bmo","0.08","-0.06","-0.14","-175.00%","-12.26%",""
"IEGH","Ieg Holdings Co...","4","--","-0.03","-0.10","-0.07","-233.33%","--",""
"FARO","Faro Technologi...","659","amc","0.12","-0.22","-0.34","-283.33%","-5.48%",""
"UIS","Unisys Corporat...","437","amc","-0.18","-0.83","-0.65","-361.11%","-23.00%",""
"CEQP","Crestwood Equit...","1,665","bmo","-0.05","-0.28","-0.23","-460.00%","5.89%",""
"BOOT","Boot Barn Holdi...","207","amc","0.00","0.03","--","--","17.01%",""
"BTU","Peabody Energy...","2,929","bmo","0.89","--","--","--","7.35%",""
"SNDR","Schneider Natio...","4,338","bmo","0.23","--","--","--","-1.94%",""
