"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"S","Sprint Corporat...","28,321","bmo","-0.01","0.05","+0.06","+600.00%","11.15%",""
"JMP","Jmp Group Llc","122","amc","-0.01","0.03","+0.04","+400.00%","-3.91%",""
"LL","Lumber Liquidat...","998","bmo","-0.08","0.16","+0.24","+300.00%","35.94%",""
"CGNT","Cogentix Medica...","185","amc","-0.01","0.01","+0.02","+200.00%","11.39%",""
"TST","Thestreet, Inc....","37","bmo","-0.01","0.01","+0.02","+200.00%","11.17%",""
"KMPR","Kemper Corporat...","2,971","amc","0.18","0.41","+0.23","+127.78%","11.39%",""
"BTE","Baytex Energy C...","638","bmo","-0.14","0.03","+0.17","+121.43%","3.94%",""
"BKEP","Blueknight Ener...","226","amc","-0.04","0.00","+0.04","+100.00%","-0.41%",""
"BP","Bp P.l.c.","127,722","bmo","0.11","0.21","+0.10","+90.91%","3.22%",""
"PXD","Pioneer Natural...","24,724","amc","0.11","0.21","+0.10","+90.91%","-10.77%",""
"PRGX","Prgx Global, In...","152","amc","-0.07","-0.01","+0.06","+85.71%","-2.40%",""
"SHOP","Shopify Inc.","8,217","bmo","-0.07","-0.01","+0.06","+85.71%","12.68%",""
"RPAI","Retail Properti...","3,078","amc","0.26","0.48","+0.22","+84.62%","-0.52%",""
"CMCO","Columbus Mckinn...","841","bmo","0.30","0.55","+0.25","+83.33%","21.78%",""
"LBY","Libbey, Inc.","213","bmo","0.20","0.36","+0.16","+80.00%","-4.11%",""
"LNTH","Lantheus Holdin...","667","amc","0.24","0.42","+0.18","+75.00%","-16.89%",""
"AROC","Archrock, Inc.","851","bmo","-0.11","-0.03","+0.08","+72.73%","-2.28%",""
"CNX","Consol Energy I...","3,642","bmo","0.10","0.17","+0.07","+70.00%","-7.76%",""
"FEYE","Fireeye, Inc.","3,073","amc","-0.12","-0.04","+0.08","+66.67%","0.75%",""
"ARC","Arc Document So...","191","amc","0.05","0.08","+0.03","+60.00%","10.26%",""
"XENT","Intersect Ent,...","836","amc","-0.19","-0.08","+0.11","+57.89%","9.26%",""
"ALL","Allstate Corpor...","33,032","amc","0.90","1.38","+0.48","+53.33%","3.47%",""
"APLP","Archrock Partne...","953","bmo","0.08","0.12","+0.04","+50.00%","3.59%",""
"IRT","Independence Re...","866","bmo","0.18","0.27","+0.09","+50.00%","0.00%",""
"REIS","Reis, Inc","218","bmo","0.02","0.03","+0.01","+50.00%","-8.41%",""
"RSYS","Radisys Corpora...","50","amc","-0.12","-0.06","+0.06","+50.00%","-31.97%",""
"UAA","Under Armour, I...","7,193","bmo","-0.06","-0.03","+0.03","+50.00%","-8.59%",""
"FANG","Diamondback Ene...","10,069","amc","0.96","1.40","+0.44","+45.83%","0.51%",""
"RPXC","Rpx Corporation...","659","amc","0.13","0.18","+0.05","+38.46%","-5.19%",""
"HLF","Herbalife Ltd.","7,290","amc","1.10","1.51","+0.41","+37.27%","-1.95%",""
"GNW","Genworth Financ...","1,912","amc","0.22","0.30","+0.08","+36.36%","-0.29%",""
"MZOR","Mazor Robotics...","1,403","bmo","-0.25","-0.16","+0.09","+36.00%","-2.48%",""
"BZH","Beazer Homes Us...","653","amc","0.17","0.23","+0.06","+35.29%","10.21%",""
"TRUP","Trupanion, Inc....","840","amc","-0.03","-0.02","+0.01","+33.33%","2.45%",""
"MTH","Meritage Corpor...","1,937","bmo","0.75","0.98","+0.23","+30.67%","6.87%",""
